net	full_name	layer	shape_use	bbox
VDD	PATH_23_52	M7	stripe	{13.0000 847.5000} {858.2880 848.5000}
VDD	PATH_23_50	M7	stripe	{13.0000 807.5000} {858.2880 808.5000}
VDD	PATH_23_48	M7	stripe	{13.0000 767.5000} {858.2880 768.5000}
VDD	PATH_23_46	M7	stripe	{13.0000 727.5000} {858.2880 728.5000}
VDD	PATH_23_44	M7	stripe	{13.0000 687.5000} {858.2880 688.5000}
VDD	PATH_23_42	M7	stripe	{13.0000 647.5000} {858.2880 648.5000}
VDD	PATH_23_40	M7	stripe	{13.0000 607.5000} {858.2880 608.5000}
VDD	PATH_23_38	M7	stripe	{13.0000 567.5000} {858.2880 568.5000}
VDD	PATH_23_36	M7	stripe	{13.0000 527.5000} {858.2880 528.5000}
VDD	PATH_23_34	M7	stripe	{13.0000 487.5000} {858.2880 488.5000}
VDD	PATH_23_32	M7	stripe	{13.0000 447.5000} {858.2880 448.5000}
VDD	PATH_23_30	M7	stripe	{13.0000 407.5000} {858.2880 408.5000}
VDD	PATH_23_28	M7	stripe	{13.0000 367.5000} {858.2880 368.5000}
VDD	PATH_23_26	M7	stripe	{13.0000 327.5000} {858.2880 328.5000}
VDD	PATH_23_24	M7	stripe	{13.0000 287.5000} {858.2880 288.5000}
VDD	PATH_23_22	M7	stripe	{13.0000 247.5000} {858.2880 248.5000}
VDD	PATH_23_20	M7	stripe	{13.0000 207.5000} {858.2880 208.5000}
VDD	PATH_23_18	M7	stripe	{13.0000 167.5000} {858.2880 168.5000}
VDD	PATH_23_16	M7	stripe	{13.0000 127.5000} {858.2880 128.5000}
VDD	PATH_23_14	M7	stripe	{13.0000 87.5000} {858.2880 88.5000}
VDD	PATH_23_12	M7	stripe	{13.0000 47.5000} {858.2880 48.5000}
VDD	PATH_13_105	M2	stripe	{839.8000 13.0000} {840.2000 857.9840}
VDD	PATH_25_52	M8	stripe	{839.5000 13.0000} {840.5000 857.9840}
VDD	PATH_13_103	M2	stripe	{799.8000 13.0000} {800.2000 857.9840}
VDD	PATH_25_50	M8	stripe	{799.5000 13.0000} {800.5000 857.9840}
VDD	PATH_13_101	M2	stripe	{759.8000 13.0000} {760.2000 857.9840}
VDD	PATH_25_48	M8	stripe	{759.5000 13.0000} {760.5000 857.9840}
VDD	PATH_13_99	M2	stripe	{719.8000 13.0000} {720.2000 857.9840}
VDD	PATH_25_46	M8	stripe	{719.5000 13.0000} {720.5000 857.9840}
VDD	PATH_13_97	M2	stripe	{679.8000 13.0000} {680.2000 857.9840}
VDD	PATH_25_44	M8	stripe	{679.5000 13.0000} {680.5000 857.9840}
VDD	PATH_13_95	M2	stripe	{639.8000 13.0000} {640.2000 857.9840}
VDD	PATH_25_42	M8	stripe	{639.5000 13.0000} {640.5000 857.9840}
VDD	PATH_13_93	M2	stripe	{599.8000 13.0000} {600.2000 857.9840}
VDD	PATH_25_40	M8	stripe	{599.5000 13.0000} {600.5000 857.9840}
VDD	PATH_13_91	M2	stripe	{559.8000 13.0000} {560.2000 857.9840}
VDD	PATH_25_38	M8	stripe	{559.5000 13.0000} {560.5000 857.9840}
VDD	PATH_13_89	M2	stripe	{519.8000 13.0000} {520.2000 857.9840}
VDD	PATH_25_36	M8	stripe	{519.5000 13.0000} {520.5000 857.9840}
VDD	PATH_13_87	M2	stripe	{479.8000 13.0000} {480.2000 857.9840}
VDD	PATH_25_34	M8	stripe	{479.5000 13.0000} {480.5000 857.9840}
VDD	PATH_13_85	M2	stripe	{439.8000 13.0000} {440.2000 857.9840}
VDD	PATH_25_32	M8	stripe	{439.5000 13.0000} {440.5000 857.9840}
VDD	PATH_13_83	M2	stripe	{399.8000 13.0000} {400.2000 857.9840}
VDD	PATH_25_30	M8	stripe	{399.5000 13.0000} {400.5000 857.9840}
VDD	PATH_13_81	M2	stripe	{359.8000 13.0000} {360.2000 857.9840}
VDD	PATH_25_28	M8	stripe	{359.5000 13.0000} {360.5000 857.9840}
VDD	PATH_13_79	M2	stripe	{319.8000 13.0000} {320.2000 857.9840}
VDD	PATH_25_26	M8	stripe	{319.5000 13.0000} {320.5000 857.9840}
VDD	PATH_13_77	M2	stripe	{279.8000 13.0000} {280.2000 857.9840}
VDD	PATH_25_24	M8	stripe	{279.5000 13.0000} {280.5000 857.9840}
VDD	PATH_13_75	M2	stripe	{239.8000 13.0000} {240.2000 857.9840}
VDD	PATH_25_22	M8	stripe	{239.5000 13.0000} {240.5000 857.9840}
VDD	PATH_13_73	M2	stripe	{199.8000 13.0000} {200.2000 857.9840}
VDD	PATH_25_20	M8	stripe	{199.5000 13.0000} {200.5000 857.9840}
VDD	PATH_13_71	M2	stripe	{159.8000 13.0000} {160.2000 857.9840}
VDD	PATH_25_18	M8	stripe	{159.5000 13.0000} {160.5000 857.9840}
VDD	PATH_13_69	M2	stripe	{119.8000 13.0000} {120.2000 857.9840}
VDD	PATH_25_16	M8	stripe	{119.5000 13.0000} {120.5000 857.9840}
VDD	PATH_13_67	M2	stripe	{79.8000 13.0000} {80.2000 857.9840}
VDD	PATH_25_14	M8	stripe	{79.5000 13.0000} {80.5000 857.9840}
VDD	PATH_13_65	M2	stripe	{39.8000 13.0000} {40.2000 857.9840}
VDD	PATH_25_12	M8	stripe	{39.5000 13.0000} {40.5000 857.9840}
VDD	PATH_23_9	M7	ring	{0.0000 13.0000} {871.2880 15.0000}
VDD	PATH_25_9	M8	ring	{856.2880 0.0000} {858.2880 870.9840}
VDD	PATH_23_8	M7	ring	{0.0000 855.9840} {871.2880 857.9840}
VDD	PATH_25_8	M8	ring	{13.0000 0.0000} {15.0000 870.9840}
VDD	PATH_11_496	M1	lib_cell_pin_connect	{20.0000 849.2820} {851.2880 849.3420}
VDD	PATH_11_494	M1	lib_cell_pin_connect	{20.0000 845.9380} {851.2880 845.9980}
VDD	PATH_11_492	M1	lib_cell_pin_connect	{20.0000 842.5940} {851.2880 842.6540}
VDD	PATH_11_490	M1	lib_cell_pin_connect	{20.0000 839.2500} {851.2880 839.3100}
VDD	PATH_11_488	M1	lib_cell_pin_connect	{20.0000 835.9060} {851.2880 835.9660}
VDD	PATH_11_486	M1	lib_cell_pin_connect	{20.0000 832.5620} {851.2880 832.6220}
VDD	PATH_11_484	M1	lib_cell_pin_connect	{20.0000 829.2180} {851.2880 829.2780}
VDD	PATH_11_482	M1	lib_cell_pin_connect	{20.0000 825.8740} {851.2880 825.9340}
VDD	PATH_11_480	M1	lib_cell_pin_connect	{20.0000 822.5300} {851.2880 822.5900}
VDD	PATH_11_478	M1	lib_cell_pin_connect	{20.0000 819.1860} {851.2880 819.2460}
VDD	PATH_11_476	M1	lib_cell_pin_connect	{20.0000 815.8420} {851.2880 815.9020}
VDD	PATH_11_474	M1	lib_cell_pin_connect	{20.0000 812.4980} {851.2880 812.5580}
VDD	PATH_11_472	M1	lib_cell_pin_connect	{20.0000 809.1540} {851.2880 809.2140}
VDD	PATH_11_470	M1	lib_cell_pin_connect	{20.0000 805.8100} {851.2880 805.8700}
VDD	PATH_11_468	M1	lib_cell_pin_connect	{20.0000 802.4660} {851.2880 802.5260}
VDD	PATH_11_466	M1	lib_cell_pin_connect	{20.0000 799.1220} {851.2880 799.1820}
VDD	PATH_11_464	M1	lib_cell_pin_connect	{20.0000 795.7780} {851.2880 795.8380}
VDD	PATH_11_462	M1	lib_cell_pin_connect	{20.0000 792.4340} {851.2880 792.4940}
VDD	PATH_11_460	M1	lib_cell_pin_connect	{20.0000 789.0900} {851.2880 789.1500}
VDD	PATH_11_458	M1	lib_cell_pin_connect	{20.0000 785.7460} {851.2880 785.8060}
VDD	PATH_11_456	M1	lib_cell_pin_connect	{20.0000 782.4020} {851.2880 782.4620}
VDD	PATH_11_454	M1	lib_cell_pin_connect	{20.0000 779.0580} {851.2880 779.1180}
VDD	PATH_11_452	M1	lib_cell_pin_connect	{20.0000 775.7140} {851.2880 775.7740}
VDD	PATH_11_450	M1	lib_cell_pin_connect	{20.0000 772.3700} {851.2880 772.4300}
VDD	PATH_11_448	M1	lib_cell_pin_connect	{20.0000 769.0260} {851.2880 769.0860}
