idx	name	type_name	layer_name	bbox	objects	description
1	0	Off-grid		{449.9830 232.8510} {450.0330 233.0530}	_sel14	
2	3	Off-grid		{650.6230 479.0910} {650.6730 479.2930}	_sel15	
3	4	Off-grid		{654.1190 483.6510} {654.1690 483.8530}	_sel16	
4	5	Off-grid		{746.0790 492.4670} {746.1290 492.6690}	_sel17	
5	6	Off-grid		{722.3670 500.3710} {722.4170 500.5730}	_sel18	
6	7	Off-grid		{742.4310 495.8110} {742.4810 496.0130}	_sel19	
7	8	Off-grid		{667.7990 509.1870} {667.8490 509.3890}	_sel20	
8	9	Off-grid		{799.5830 515.8750} {799.6330 516.0770}	_sel21	
9	10	Off-grid		{727.3830 522.5630} {727.4330 522.7650}	_sel22	
10	11	Off-grid		{716.8950 543.8430} {716.9450 544.0450}	_sel23	
11	12	Off-grid		{742.2790 543.8430} {742.3290 544.0450}	_sel24	
12	13	Off-grid		{761.2790 559.3470} {761.3290 559.5490}	_sel25	
13	14	Off-grid		{764.7750 589.4430} {764.8250 589.6450}	_sel26	
14	15	Off-grid		{768.1190 590.6590} {768.1690 590.8610}	_sel27	
15	16	Off-grid		{800.3430 596.1310} {800.3930 596.3330}	_sel28	
16	17	Off-grid		{807.0310 602.8190} {807.0810 603.0210}	_sel29	
17	18	Off-grid		{799.4010 612.0100} {799.5110 612.0700}	_sel30	
