label	idx	name	class	layer	bbox	net	ref_name	lib_cell	shape_use	via_def	owner
offgrid_error_1	0	0	drc_error		{449.9830 232.8510} {450.0330 233.0530}	NA	NA	NA	NA	NA	NA
drc_object_1	1	n55391	net		{440.6190 230.9210} {761.4050 527.5830}						
near_cell_1	1	U23508	cell		{448.0690 232.3140} {449.5050 234.1170}		AND2X1_HVT	saed32hvt_tt.modified_lef/AND2X1_HVT			
near_cell_1	2	U9192	cell		{447.6130 233.9150} {449.3630 235.7180}		AND4X1_HVT	saed32hvt_tt.modified_lef/AND4X1_HVT			
near_cell_1	3	U9168	cell		{447.6130 230.5710} {449.3630 232.3740}		AND4X1_HVT	saed32hvt_tt.modified_lef/AND4X1_HVT			
near_cell_1	4	U9161	cell		{450.9570 232.3140} {452.7070 234.1170}		AND4X1_HVT	saed32hvt_tt.modified_lef/AND4X1_HVT			
near_cell_1	5	ZBUF_7315_inst_3405	cell		{449.1330 233.9150} {453.0110 235.7180}		NBUFFX16_HVT	saed32hvt_tt.modified_lef/NBUFFX16_HVT			
near_cell_1	6	ZBUF_2660_inst_5166	cell		{449.4370 230.5710} {451.9470 232.3740}		NBUFFX8_HVT	saed32hvt_tt.modified_lef/NBUFFX8_HVT			
near_pin_1	1	U23131/A1	pin	M1 CO	{449.6490 232.9750} {449.8210 233.1590}	n51465					
near_pin_1	2	U23131/VSS	pin	M1 CO	{449.4000 232.3140} {451.0720 232.7310}	VSS					
near_shape_1	1	PATH_19_1217	shape	M5	{447.3960 232.7720} {456.8760 232.8280}	n7777			detail_route		n7777
near_shape_1	2	PATH_21_2376	shape	M6	{449.8280 136.7080} {449.8840 235.8680}	n52098			detail_route		n52098
near_shape_1	3	PATH_23_2406	shape	M7	{441.3160 232.7720} {461.4360 232.8280}	ZBUF_807_865			detail_route		ZBUF_807_865
near_shape_1	4	PATH_17_19398	shape	M4	{450.1320 219.7000} {450.1880 254.7160}	n51527			detail_route		n51527
near_shape_1	5	PATH_15_41148	shape	M3	{445.2680 232.7720} {455.5080 232.8280}	n7797			detail_route		n7797
near_shape_1	6	PATH_15_357272	shape	M3	{445.5720 233.0760} {452.0120 233.1320}	ZBUF_606_702			detail_route		ZBUF_606_702
near_shape_1	7	PATH_13_368232	shape	M2	{449.9800 232.9240} {450.0360 234.0440}	n55391			detail_route		n55391
offgrid_error_2	0	2	drc_error		{650.6230 479.0910} {650.6730 479.2930}	NA	NA	NA	NA	NA	NA
drc_object_2	1	u_ibex_top_u_ibex_core_load_store_unit_i_rdata_offset_q[1]	net		{650.5290 478.6810} {666.3590 488.0340}						
near_cell_2	1	u_imem_mem_reg_435__30_	cell		{646.2770 479.7700} {650.4590 481.5730}		DFFX1_HVT	saed32hvt_tt.modified_lef/DFFX1_HVT			
near_cell_2	2	u_ibex_top_u_ibex_core_DP_OP_899J3_122_459/U1209	cell		{647.3860 476.4260} {650.7180 478.2290}		FADDX2_HVT	saed32hvt_tt.modified_lef/FADDX2_HVT			
near_cell_2	3	U80528	cell		{651.5970 479.7700} {653.0330 481.5730}		AND2X1_HVT	saed32hvt_tt.modified_lef/AND2X1_HVT			
near_cell_2	4	U80533	cell		{650.3810 479.7700} {651.8170 481.5730}		AND2X1_HVT	saed32hvt_tt.modified_lef/AND2X1_HVT			
near_cell_2	5	U81193	cell		{651.9010 478.0130} {653.8030 479.8300}		OA21X2_HVT	saed32hvt_tt.modified_lef/OA21X2_HVT			
near_pin_2	1	U80531/A1	pin	M1 CO	{650.2890 478.9850} {650.4610 479.1690}	u_ibex_top_u_ibex_core_load_store_unit_i_rdata_offset_q[0]					
near_pin_2	2	U80531/VSS	pin	M1 CO	{650.0400 479.3890} {652.0160 479.8300}	VSS					
near_shape_2	1	PATH_11_50466	shape	M1	{650.1620 479.0100} {650.4050 479.0700}	u_ibex_top_u_ibex_core_load_store_unit_i_rdata_offset_q[0]			detail_route		u_ibex_top_u_ibex_core_load_store_unit_i_rdata_offset_q[0]
near_shape_2	2	PATH_15_261365	shape	M3	{650.4680 479.0120} {654.1720 479.0680}	u_ibex_top_u_ibex_core_load_store_unit_i_rdata_offset_q[0]			detail_route		u_ibex_top_u_ibex_core_load_store_unit_i_rdata_offset_q[0]
near_shape_2	3	PATH_13_536276	shape	M2	{650.7720 479.4680} {650.8280 480.5880}	u_ibex_top_u_ibex_core_load_store_unit_i_rdata_offset_q[1]			detail_route		u_ibex_top_u_ibex_core_load_store_unit_i_rdata_offset_q[1]
near_shape_2	4	PATH_13_536623	shape	M2	{650.7720 479.4680} {652.1960 479.5240}	u_ibex_top_u_ibex_core_load_store_unit_i_rdata_offset_q[1]			detail_route		u_ibex_top_u_ibex_core_load_store_unit_i_rdata_offset_q[1]
near_shape_2	5	PATH_13_537871	shape	M2	{650.3160 479.0120} {650.5240 479.0680}	u_ibex_top_u_ibex_core_load_store_unit_i_rdata_offset_q[0]			detail_route		u_ibex_top_u_ibex_core_load_store_unit_i_rdata_offset_q[0]
offgrid_error_3	0	3	drc_error		{654.1190 483.6510} {654.1690 483.8530}	NA	NA	NA	NA	NA	NA
drc_object_3	1	u_ibex_top_u_ibex_core_load_store_unit_i_rdata_offset_q[1]	net		{650.5290 478.6810} {666.3590 488.0340}						
near_cell_3	1	unmapped_rvalid_q_reg	cell		{655.3970 483.1140} {659.8830 484.9170}		DFFARX1_HVT	saed32hvt_tt.modified_lef/DFFARX1_HVT			
near_cell_3	2	u_imem_mem_reg_396__28_	cell		{648.7090 484.7150} {652.8910 486.5180}		DFFX1_HVT	saed32hvt_tt.modified_lef/DFFX1_HVT			
near_cell_3	3	u_imem_mem_reg_396__30_	cell		{648.8610 483.1140} {653.0430 484.9170}		DFFX1_HVT	saed32hvt_tt.modified_lef/DFFX1_HVT			
near_cell_3	4	U81196	cell		{653.8770 481.3710} {655.3130 483.1740}		AND2X1_HVT	saed32hvt_tt.modified_lef/AND2X1_HVT			
near_cell_3	5	U81197	cell		{654.3330 484.7150} {655.9310 486.5180}		OR2X1_HVT	saed32hvt_tt.modified_lef/OR2X1_HVT			
near_cell_3	6	U22626	cell		{652.6610 484.7010} {654.4110 486.5180}		AO21X1_HVT	saed32hvt_tt.modified_lef/AO21X1_HVT			
near_pin_3	1	U80526/A1	pin	M1 CO	{653.7850 483.7750} {653.9570 483.9590}	n47724					
near_pin_3	2	U80526/VSS	pin	M1 CO	{653.5360 483.1140} {655.0560 483.5310}	VSS					
near_shape_3	1	PATH_19_256	shape	M5	{555.6200 483.8760} {685.7880 483.9320}	imem_wdata_i[9]			detail_route		imem_wdata_i[9]
near_shape_3	2	PATH_21_5912	shape	M6	{654.1160 483.2680} {654.1720 486.9720}	ZBUF_178_857			detail_route		ZBUF_178_857
near_shape_3	3	PATH_13_536628	shape	M2	{654.1160 479.3160} {654.1720 483.7800}	u_ibex_top_u_ibex_core_load_store_unit_i_rdata_offset_q[1]			detail_route		u_ibex_top_u_ibex_core_load_store_unit_i_rdata_offset_q[1]
offgrid_error_4	0	4	drc_error		{746.0790 492.4670} {746.1290 492.6690}	NA	NA	NA	NA	NA	NA
drc_object_4	1	n46355	net		{745.4410 488.2950} {746.1590 492.6990}						
near_cell_4	1	U80623	cell		{743.8610 493.1460} {745.6110 494.9630}		AO22X1_HVT	saed32hvt_tt.modified_lef/AO22X1_HVT			
near_cell_4	2	U80624	cell		{746.1410 493.1460} {747.7390 494.9490}		OR2X2_HVT	saed32hvt_tt.modified_lef/OR2X2_HVT			
near_cell_4	3	U80747	cell		{745.3810 493.1460} {746.3710 494.9490}		INVX1_HVT	saed32hvt_tt.modified_lef/INVX1_HVT			
near_cell_4	4	U80826	cell		{746.7490 489.8020} {748.4990 491.6190}		AO22X1_HVT	saed32hvt_tt.modified_lef/AO22X1_HVT			
near_cell_4	5	U80827	cell		{743.7090 491.3890} {745.4590 493.2060}		AO22X1_HVT	saed32hvt_tt.modified_lef/AO22X1_HVT			
near_pin_4	1	U80632/A1	pin	M1 CO	{745.7450 492.3610} {745.9170 492.5450}	n46356					
near_pin_4	2	U80632/VSS	pin	M1 CO	{745.4960 492.7890} {747.0160 493.2060}	VSS					
near_shape_4	1	PATH_19_5295	shape	M5	{727.3800 492.3880} {759.0520 492.4440}	n48457			detail_route		n48457
near_shape_4	2	PATH_15_84674	shape	M3	{743.9480 492.3880} {749.6280 492.4440}	n46601			detail_route		n46601
near_shape_4	3	PATH_15_128951	shape	M3	{741.6680 492.6920} {748.8680 492.7480}	n50733			detail_route		n50733
near_shape_4	4	PATH_13_201347	shape	M2	{745.9240 489.5000} {745.9800 492.5960}	n46355			detail_route		n46355
near_via_4	1	VIA_SA_15724	via		{745.5930 492.5130} {745.8550 492.6230}	n46356			detail_route	VIA12SQ_C	n46356
offgrid_error_5	0	5	drc_error		{722.3670 500.3710} {722.4170 500.5730}	NA	NA	NA	NA	NA	NA
drc_object_5	1	n47209	net		{722.2730 465.1480} {743.1190 518.1400}						
near_cell_5	1	U3089	cell		{721.2130 501.4350} {722.3550 503.2380}		NAND2X0_HVT	saed32hvt_tt.modified_lef/NAND2X0_HVT			
near_cell_5	2	U80570	cell		{721.3650 498.0910} {722.3550 499.8940}		INVX1_HVT	saed32hvt_tt.modified_lef/INVX1_HVT			
near_cell_5	3	U81314	cell		{722.1050 501.4210} {723.8760 503.2380}		OA22X1_HVT	saed32hvt_tt.modified_lef/OA22X1_HVT			
near_cell_5	4	U31517	cell		{719.9970 501.4350} {721.1390 503.2380}		INVX2_HVT	saed32hvt_tt.modified_lef/INVX2_HVT			
near_cell_5	5	U7961	cell		{723.3410 499.8340} {725.5470 501.6510}		AO222X1_HVT	saed32hvt_tt.modified_lef/AO222X1_HVT			
near_cell_5	6	U80599	cell		{723.7970 498.0910} {725.8510 499.8940}		NAND4X1_HVT	saed32hvt_tt.modified_lef/NAND4X1_HVT			
