idx	error	via	via_def	lower	upper	origin	bbox	array_size	rows	cols	shape_use	net
1	0	VIA_S_588109	VIA12SQ_C	M1	M2	757.2000 527.5280	{757.1450 527.4730} {757.2550 527.5830}	1 1	1	1	detail_route	n55391
1	0	VIA_S_588106	VIA12SQ_C	M1	M2	740.6320 517.1920	{740.5770 517.1370} {740.6870 517.2470}	1 1	1	1	detail_route	n55391
1	0	VIA_S_588099	VIA12SQ_C	M1	M2	712.8160 515.8240	{712.7610 515.7690} {712.8710 515.8790}	1 1	1	1	detail_route	n55391
1	0	VIA_S_588095	VIA12SQ_C	M1	M2	700.8080 492.2640	{700.7530 492.2090} {700.8630 492.3190}	1 1	1	1	detail_route	n55391
1	0	VIA_S_588088	VIA12SQ_C	M1	M2	697.6160 480.4080	{697.5610 480.3530} {697.6710 480.4630}	1 1	1	1	detail_route	n55391
1	0	VIA_S_588086	VIA12SQ_C	M1	M2	691.8400 415.5040	{691.7850 415.4490} {691.8950 415.5590}	1 1	1	1	detail_route	n55391
1	0	VIA_S_588079	VIA12SQ_C	M1	M2	684.8480 493.9360	{684.7930 493.8810} {684.9030 493.9910}	1 1	1	1	detail_route	n55391
1	0	VIA_S_588075	VIA12SQ_C	M1	M2	678.3120 496.3680	{678.2570 496.3130} {678.3670 496.4230}	1 1	1	1	detail_route	n55391
1	0	VIA_S_588073	VIA12SQ_C	M1	M2	677.8560 495.6080	{677.8010 495.5530} {677.9110 495.6630}	1 1	1	1	detail_route	n55391
1	0	VIA_S_588063	VIA12SQ_C	M1	M2	608.6960 417.1760	{608.6410 417.1210} {608.7510 417.2310}	1 1	1	1	detail_route	n55391
1	0	VIA_S_588062	VIA12SQ_C	M1	M2	602.7680 415.3520	{602.7130 415.2970} {602.8230 415.4070}	1 1	1	1	detail_route	n55391
1	0	VIA_S_588052	VIA12SQ_C	M1	M2	500.7760 415.3520	{500.7210 415.2970} {500.8310 415.4070}	1 1	1	1	detail_route	n55391
1	0	VIA_S_588045	VIA12SQ_C	M1	M2	494.8480 266.5440	{494.7930 266.4890} {494.9030 266.5990}	1 1	1	1	detail_route	n55391
1	0	VIA_S_588038	VIA12SQ_C	M1	M2	460.6480 236.4480	{460.5930 236.3930} {460.7030 236.5030}	1 1	1	1	detail_route	n55391
1	0	VIA_S_588036	VIA12SQ_C	M1	M2	458.2160 234.9280	{458.1610 234.8730} {458.2710 234.9830}	1 1	1	1	detail_route	n55391
1	0	VIA_S_586944	VIA12SQ_C	M1	M2	451.8320 233.4080	{451.7770 233.3530} {451.8870 233.4630}	1 1	1	1	detail_route	n55391
1	0	VIA_SA_15744	VIA12SQ_C	M1	M2	450.0080 232.9520	{449.9530 232.8210} {450.0630 233.0830}	2 1	2	1	detail_route	n55391
1	0	VIA_S_586940	VIA12SQ_C	M1	M2	448.6400 233.2560	{448.5850 233.2010} {448.6950 233.3110}	1 1	1	1	detail_route	n55391
1	0	VIA_S_586939	VIA12SQ_C	M1	M2	448.4880 231.2800	{448.4330 231.2250} {448.5430 231.3350}	1 1	1	1	detail_route	n55391
1	0	VIA_S_586936	VIA12SQ_C	M1	M2	445.4480 231.4320	{445.3930 231.3770} {445.5030 231.4870}	1 1	1	1	detail_route	n55391
1	0	VIA_S_586934	VIA12SQ_C	M1	M2	444.5360 231.5840	{444.4810 231.5290} {444.5910 231.6390}	1 1	1	1	detail_route	n55391
1	0	VIA_S_586932	VIA12SQ_C	M1	M2	442.8640 231.5840	{442.8090 231.5290} {442.9190 231.6390}	1 1	1	1	detail_route	n55391
1	0	VIA_S_586930	VIA12SQ_C	M1	M2	441.6480 231.5840	{441.5930 231.5290} {441.7030 231.6390}	1 1	1	1	detail_route	n55391
1	0	VIA_S_586928	VIA12SQ_C	M1	M2	440.7360 233.4080	{440.6810 233.3530} {440.7910 233.4630}	1 1	1	1	detail_route	n55391
2	2	VIA_S_822279	VIA12SQ_C	M1	M2	661.4400 487.0960	{661.3850 487.0410} {661.4950 487.1510}	1 1	1	1	detail_route	u_ibex_top_u_ibex_core_load_store_unit_i_rdata_offset_q[1]
2	2	VIA_S_821711	VIA12SQ_C	M1	M2	666.3040 487.5520	{666.2490 487.4970} {666.3590 487.6070}	1 1	1	1	detail_route	u_ibex_top_u_ibex_core_load_store_unit_i_rdata_offset_q[1]
2	2	VIA_S_821708	VIA12SQ_C	M1	M2	656.8800 478.7360	{656.8250 478.6810} {656.9350 478.7910}	1 1	1	1	detail_route	u_ibex_top_u_ibex_core_load_store_unit_i_rdata_offset_q[1]
2	2	VIA_SA_15750	VIA12SQ_C	M1	M2	654.1440 483.7520	{654.0890 483.6210} {654.1990 483.8830}	2 1	2	1	detail_route	u_ibex_top_u_ibex_core_load_store_unit_i_rdata_offset_q[1]
2	2	VIA_S_821706	VIA12SQ_C	M1	M2	653.9920 479.0400	{653.9370 478.9850} {654.0470 479.0950}	1 1	1	1	detail_route	u_ibex_top_u_ibex_core_load_store_unit_i_rdata_offset_q[1]
2	2	VIA_S_821705	VIA12SQ_C	M1	M2	652.1680 480.7120	{652.1130 480.6570} {652.2230 480.7670}	1 1	1	1	detail_route	u_ibex_top_u_ibex_core_load_store_unit_i_rdata_offset_q[1]
2	2	VIA_S_821703	VIA12SQ_C	M1	M2	650.8000 480.5600	{650.7450 480.5050} {650.8550 480.6150}	1 1	1	1	detail_route	u_ibex_top_u_ibex_core_load_store_unit_i_rdata_offset_q[1]
2	2	VIA_SA_15749	VIA12SQ_C	M1	M2	650.6480 479.1920	{650.5930 479.0610} {650.7030 479.3230}	2 1	2	1	detail_route	u_ibex_top_u_ibex_core_load_store_unit_i_rdata_offset_q[1]
3	3	VIA_S_822279	VIA12SQ_C	M1	M2	661.4400 487.0960	{661.3850 487.0410} {661.4950 487.1510}	1 1	1	1	detail_route	u_ibex_top_u_ibex_core_load_store_unit_i_rdata_offset_q[1]
3	3	VIA_S_821711	VIA12SQ_C	M1	M2	666.3040 487.5520	{666.2490 487.4970} {666.3590 487.6070}	1 1	1	1	detail_route	u_ibex_top_u_ibex_core_load_store_unit_i_rdata_offset_q[1]
3	3	VIA_S_821708	VIA12SQ_C	M1	M2	656.8800 478.7360	{656.8250 478.6810} {656.9350 478.7910}	1 1	1	1	detail_route	u_ibex_top_u_ibex_core_load_store_unit_i_rdata_offset_q[1]
3	3	VIA_SA_15750	VIA12SQ_C	M1	M2	654.1440 483.7520	{654.0890 483.6210} {654.1990 483.8830}	2 1	2	1	detail_route	u_ibex_top_u_ibex_core_load_store_unit_i_rdata_offset_q[1]
3	3	VIA_S_821706	VIA12SQ_C	M1	M2	653.9920 479.0400	{653.9370 478.9850} {654.0470 479.0950}	1 1	1	1	detail_route	u_ibex_top_u_ibex_core_load_store_unit_i_rdata_offset_q[1]
3	3	VIA_S_821705	VIA12SQ_C	M1	M2	652.1680 480.7120	{652.1130 480.6570} {652.2230 480.7670}	1 1	1	1	detail_route	u_ibex_top_u_ibex_core_load_store_unit_i_rdata_offset_q[1]
3	3	VIA_S_821703	VIA12SQ_C	M1	M2	650.8000 480.5600	{650.7450 480.5050} {650.8550 480.6150}	1 1	1	1	detail_route	u_ibex_top_u_ibex_core_load_store_unit_i_rdata_offset_q[1]
3	3	VIA_SA_15749	VIA12SQ_C	M1	M2	650.6480 479.1920	{650.5930 479.0610} {650.7030 479.3230}	2 1	2	1	detail_route	u_ibex_top_u_ibex_core_load_store_unit_i_rdata_offset_q[1]
4	4	VIA_SA_15723	VIA12SQ_C	M1	M2	746.1040 492.5680	{746.0490 492.4370} {746.1590 492.6990}	2 1	2	1	detail_route	n46355
4	4	VIA_S_307717	VIA12SQ_C	M1	M2	745.9520 489.5280	{745.8970 489.4730} {746.0070 489.5830}	1 1	1	1	detail_route	n46355
5	5	VIA_S_313667	VIA12SQ_C	M1	M2	743.0640 517.1920	{743.0090 517.1370} {743.1190 517.2470}	1 1	1	1	detail_route	n47209
5	5	VIA_S_313663	VIA12SQ_C	M1	M2	735.9200 465.3600	{735.8650 465.3050} {735.9750 465.4150}	1 1	1	1	detail_route	n47209
5	5	VIA_S_313659	VIA12SQ_C	M1	M2	728.1680 493.9360	{728.1130 493.8810} {728.2230 493.9910}	1 1	1	1	detail_route	n47209
5	5	VIA_S_313658	VIA12SQ_C	M1	M2	722.6960 501.6880	{722.6410 501.6330} {722.7510 501.7430}	1 1	1	1	detail_route	n47209
5	5	VIA_SA_15727	VIA12SQ_C	M1	M2	722.3920 500.4720	{722.3370 500.3410} {722.4470 500.6030}	2 1	2	1	detail_route	n47209
6	6	VIA_SA_15725	VIA12SQ_C	M1	M2	742.4560 495.9120	{742.4010 495.7810} {742.5110 496.0430}	2 1	2	1	detail_route	n46411
6	6	VIA_S_308088	VIA12SQ_C	M1	M2	742.4560 496.6720	{742.4010 496.6170} {742.5110 496.7270}	1 1	1	1	detail_route	n46411
6	6	VIA_S_308087	VIA12SQ_C	M1	M2	744.5840 496.6720	{744.5290 496.6170} {744.6390 496.7270}	1 1	1	1	detail_route	n46411
6	6	VIA_S_308086	VIA12SQ_C	M1	M2	744.5840 496.2160	{744.5290 496.1610} {744.6390 496.2710}	1 1	1	1	detail_route	n46411
7	7	VIA_S_156013	VIA12SQ_C	M1	M2	725.8880 518.1040	{725.8330 518.0490} {725.9430 518.1590}	1 1	1	1	detail_route	n6576
7	7	VIA_S_156011	VIA12SQ_C	M1	M2	725.1280 520.6880	{725.0730 520.6330} {725.1830 520.7430}	1 1	1	1	detail_route	n6576
7	7	VIA_S_156009	VIA12SQ_C	M1	M2	724.5200 517.3440	{724.4650 517.2890} {724.5750 517.3990}	1 1	1	1	detail_route	n6576
7	7	VIA_S_156008	VIA12SQ_C	M1	M2	724.5200 515.8240	{724.4650 515.7690} {724.5750 515.8790}	1 1	1	1	detail_route	n6576
7	7	VIA_S_156006	VIA12SQ_C	M1	M2	723.7600 520.6880	{723.7050 520.6330} {723.8150 520.7430}	1 1	1	1	detail_route	n6576
7	7	VIA_S_156004	VIA12SQ_C	M1	M2	723.1520 522.3600	{723.0970 522.3050} {723.2070 522.4150}	1 1	1	1	detail_route	n6576
7	7	VIA_S_156003	VIA12SQ_C	M1	M2	722.2400 515.8240	{722.1850 515.7690} {722.2950 515.8790}	1 1	1	1	detail_route	n6576
7	7	VIA_S_156002	VIA12SQ_C	M1	M2	722.2400 514.7600	{722.1850 514.7050} {722.2950 514.8150}	1 1	1	1	detail_route	n6576
7	7	VIA_S_154455	VIA12SQ_C	M1	M2	668.8880 507.1600	{668.8330 507.1050} {668.9430 507.2150}	1 1	1	1	detail_route	n6576
7	7	VIA_SA_15720	VIA12SQ_C	M1	M2	667.8240 509.2880	{667.7690 509.1570} {667.8790 509.4190}	2 1	2	1	detail_route	n6576
8	8	VIA_SA_15712	VIA12SQ_C	M1	M2	799.6080 515.9760	{799.5530 515.8450} {799.6630 516.1070}	2 1	2	1	detail_route	n2871
8	8	VIA_S_137142	VIA12SQ_C	M1	M2	802.0400 515.5200	{801.9850 515.4650} {802.0950 515.5750}	1 1	1	1	detail_route	n2871
9	9	VIA_SA_15714	VIA12SQ_C	M1	M2	727.4080 522.6640	{727.3530 522.5330} {727.4630 522.7950}	2 1	2	1	detail_route	n4111
9	9	VIA_S_139615	VIA12SQ_C	M1	M2	725.8880 522.6640	{725.8330 522.6090} {725.9430 522.7190}	1 1	1	1	detail_route	n4111
9	9	VIA_S_139613	VIA12SQ_C	M1	M2	723.4560 520.6880	{723.4010 520.6330} {723.5110 520.7430}	1 1	1	1	detail_route	n4111
10	10	VIA_S_824599	VIA12SQ_C	M1	M2	722.6960 542.4240	{722.6410 542.3690} {722.7510 542.4790}	1 1	1	1	detail_route	u_ibex_top_u_ibex_core_instr_rdata_alu_id[26]
10	10	VIA_S_824597	VIA12SQ_C	M1	M2	719.6560 544.4000	{719.6010 544.3450} {719.7110 544.4550}	1 1	1	1	detail_route	u_ibex_top_u_ibex_core_instr_rdata_alu_id[26]
10	10	VIA_S_824595	VIA12SQ_C	M1	M2	718.1360 544.0960	{718.0810 544.0410} {718.1910 544.1510}	1 1	1	1	detail_route	u_ibex_top_u_ibex_core_instr_rdata_alu_id[26]
10	10	VIA_SA_15751	VIA12SQ_C	M1	M2	716.9200 543.9440	{716.8650 543.8130} {716.9750 544.0750}	2 1	2	1	detail_route	u_ibex_top_u_ibex_core_instr_rdata_alu_id[26]
11	11	VIA_S_156030	VIA12SQ_C	M1	M2	752.0320 547.5920	{751.9770 547.5370} {752.0870 547.6470}	1 1	1	1	detail_route	n6821
11	11	VIA_S_156029	VIA12SQ_C	M1	M2	751.4240 539.2320	{751.3690 539.1770} {751.4790 539.2870}	1 1	1	1	detail_route	n6821
11	11	VIA_S_156026	VIA12SQ_C	M1	M2	742.4560 540.9040	{742.4010 540.8490} {742.5110 540.9590}	1 1	1	1	detail_route	n6821
11	11	VIA_SA_15721	VIA12SQ_C	M1	M2	742.3040 543.9440	{742.2490 543.8130} {742.3590 544.0750}	2 1	2	1	detail_route	n6821
12	12	VIA_SA_15715	VIA12SQ_C	M1	M2	761.3040 559.4480	{761.2490 559.3170} {761.3590 559.5790}	2 1	2	1	detail_route	n4612
12	12	VIA_S_143879	VIA12SQ_C	M1	M2	760.8480 560.2080	{760.7930 560.1530} {760.9030 560.2630}	1 1	1	1	detail_route	n4612
12	12	VIA_S_143878	VIA12SQ_C	M1	M2	760.8480 559.7520	{760.7930 559.6970} {760.9030 559.8070}	1 1	1	1	detail_route	n4612
13	13	VIA_S_821493	VIA12SQ_C	M1	M2	771.4880 582.7040	{771.4330 582.6490} {771.5430 582.7590}	1 1	1	1	detail_route	u_ibex_top_u_ibex_core_if_stage_i_gen_prefetch_buffer_prefetch_buffer_i_fifo_busy[1]
13	13	VIA_S_821492	VIA12SQ_C	M1	M2	770.1200 580.8800	{770.0650 580.8250} {770.1750 580.9350}	1 1	1	1	detail_route	u_ibex_top_u_ibex_core_if_stage_i_gen_prefetch_buffer_prefetch_buffer_i_fifo_busy[1]
13	13	VIA_S_821489	VIA12SQ_C	M1	M2	768.2960 579.3600	{768.2410 579.3050} {768.3510 579.4150}	1 1	1	1	detail_route	u_ibex_top_u_ibex_core_if_stage_i_gen_prefetch_buffer_prefetch_buffer_i_fifo_busy[1]
13	13	VIA_SA_15747	VIA12SQ_C	M1	M2	768.1440 590.7600	{768.0890 590.6290} {768.1990 590.8910}	2 1	2	1	detail_route	u_ibex_top_u_ibex_core_if_stage_i_gen_prefetch_buffer_prefetch_buffer_i_fifo_busy[1]
13	13	VIA_S_821475	VIA12SQ_C	M1	M2	767.2320 578.2960	{767.1770 578.2410} {767.2870 578.3510}	1 1	1	1	detail_route	u_ibex_top_u_ibex_core_if_stage_i_gen_prefetch_buffer_prefetch_buffer_i_fifo_busy[1]
13	13	VIA_SA_15746	VIA12SQ_C	M1	M2	764.8000 589.5440	{764.7450 589.4130} {764.8550 589.6750}	2 1	2	1	detail_route	u_ibex_top_u_ibex_core_if_stage_i_gen_prefetch_buffer_prefetch_buffer_i_fifo_busy[1]
