idx	name	type_name	layer_name	bbox	objects	description
1	0	Off-grid		{393.5910 268.4190} {393.6410 268.6210}	_sel9	
2	1	Off-grid		{760.6710 291.8270} {760.7210 292.0290}	_sel10	
3	2	Off-grid		{743.6470 309.7630} {743.6970 309.9650}	_sel11	
4	3	Off-grid		{741.5190 306.4190} {741.5690 306.6210}	_sel12	
5	4	Off-grid		{780.2790 309.7630} {780.3290 309.9650}	_sel13	
6	5	Off-grid		{713.2470 315.2350} {713.2970 315.4370}	_sel14	
7	6	Off-grid		{713.8550 318.5790} {713.9050 318.7810}	_sel15	
8	7	Off-grid		{776.4790 315.2350} {776.5290 315.4370}	_sel16	
9	8	Off-grid		{778.4550 315.2350} {778.5050 315.4370}	_sel17	
10	9	Off-grid		{789.2470 315.2350} {789.2970 315.4370}	_sel18	
11	10	Off-grid		{736.5030 331.9550} {736.5530 332.1570}	_sel19	
12	11	Off-grid		{780.2790 335.2990} {780.3290 335.5010}	_sel20	
13	12	Off-grid		{743.1910 343.2030} {743.2410 343.4050}	_sel21	
14	14	Off-grid		{747.7510 423.4590} {747.8010 423.6610}	_sel22	
15	15	Off-grid		{762.6470 459.0270} {762.6970 459.2290}	_sel23	
16	16	Off-grid		{791.2230 452.3390} {791.2730 452.5410}	_sel24	
17	17	Off-grid		{801.5590 455.6830} {801.6090 455.8850}	_sel25	
18	18	Off-grid		{767.6630 463.5870} {767.7130 463.7890}	_sel26	
19	19	Off-grid		{768.2710 462.3710} {768.3210 462.5730}	_sel27	
