label	idx	name	class	layer	bbox	net	ref_name	lib_cell	shape_use	via_def	owner
offgrid_error_1	0	0	drc_error		{393.5910 268.4190} {393.6410 268.6210}	NA	NA	NA	NA	NA	NA
drc_object_1	1	ZBUF_2071_6	net		{378.8170 266.3370} {728.0710 304.5990}						
near_cell_1	1	U9155	cell		{392.1570 265.7540} {394.1630 267.5570}		AND3X4_HVT	saed32hvt_tt.modified_lef/AND3X4_HVT			
near_cell_1	2	U24857	cell		{392.5890 269.0980} {393.5790 270.9010}		INVX1_HVT	saed32hvt_tt.modified_lef/INVX1_HVT			
near_cell_1	3	U23508	cell		{393.9570 265.7540} {395.8590 267.5570}		AND2X4_HVT	saed32hvt_tt.modified_lef/AND2X4_HVT			
near_cell_1	4	U9571	cell		{394.8690 269.0980} {396.4670 270.9010}		AND2X2_HVT	saed32hvt_tt.modified_lef/AND2X2_HVT			
near_cell_1	5	U9173	cell		{391.3730 267.3550} {393.1230 269.1580}		AND4X1_HVT	saed32hvt_tt.modified_lef/AND4X1_HVT			
near_cell_1	6	U9161	cell		{393.3490 269.0980} {395.0990 270.9010}		AND4X1_HVT	saed32hvt_tt.modified_lef/AND4X1_HVT			
near_cell_1	7	ZBUF_1974_inst_3790	cell		{388.4850 265.7540} {392.3630 267.5570}		NBUFFX16_HVT	saed32hvt_tt.modified_lef/NBUFFX16_HVT			
near_cell_1	8	ZBUF_264_inst_7752	cell		{391.0720 269.0980} {392.8190 270.9010}		NBUFFX4_HVT	saed32hvt_tt.modified_lef/NBUFFX4_HVT			
near_pin_1	1	U23131/A1	pin	M1 CO	{393.2570 268.3130} {393.4290 268.4970}	n51465					
near_pin_1	2	U23131/VSS	pin	M1 CO	{393.0080 268.7170} {394.9840 269.1580}	VSS					
near_shape_1	1	PATH_23_23	shape	M7	{10.0000 267.5000} {861.5920 268.5000}	VSS			stripe		VSS
near_shape_1	2	PATH_19_1901	shape	M5	{369.8760 268.6440} {399.4200 268.7000}	n17756			detail_route		n17756
near_shape_1	3	PATH_11_24056	shape	M1	{393.1300 268.3380} {393.3730 268.3980}	n51465			detail_route		n51465
near_shape_1	4	PATH_15_41070	shape	M3	{392.8280 268.6440} {400.7880 268.7000}	n7792			detail_route		n7792
near_shape_1	5	PATH_15_130355	shape	M3	{391.9160 268.3400} {393.4920 268.3960}	n51465			detail_route		n51465
