idx	error	via	via_def	lower	upper	origin	bbox	array_size	rows	cols	shape_use	net
1	0	VIA_S_905436	VIA12SQ_C	M1	M2	596.8400 283.4160	{596.7850 283.3610} {596.8950 283.4710}	1 1	1	1	detail_route	ZBUF_2071_6
1	0	VIA_S_905425	VIA12SQ_C	M1	M2	668.5840 277.0320	{668.5290 276.9770} {668.6390 277.0870}	1 1	1	1	detail_route	ZBUF_2071_6
1	0	VIA_S_905424	VIA12SQ_C	M1	M2	675.1200 277.0320	{675.0650 276.9770} {675.1750 277.0870}	1 1	1	1	detail_route	ZBUF_2071_6
1	0	VIA_S_905415	VIA12SQ_C	M1	M2	727.2560 270.6480	{727.2010 270.5930} {727.3110 270.7030}	1 1	1	1	detail_route	ZBUF_2071_6
1	0	VIA_S_905414	VIA12SQ_C	M1	M2	596.8400 284.3280	{596.7850 284.2730} {596.8950 284.3830}	1 1	1	1	detail_route	ZBUF_2071_6
1	0	VIA_S_905413	VIA12SQ_C	M1	M2	594.5600 284.3280	{594.5050 284.2730} {594.6150 284.3830}	1 1	1	1	detail_route	ZBUF_2071_6
1	0	VIA_S_905412	VIA12SQ_C	M1	M2	594.5600 281.5920	{594.5050 281.5370} {594.6150 281.6470}	1 1	1	1	detail_route	ZBUF_2071_6
1	0	VIA_S_905409	VIA12SQ_C	M1	M2	590.0000 281.5920	{589.9450 281.5370} {590.0550 281.6470}	1 1	1	1	detail_route	ZBUF_2071_6
1	0	VIA_S_905383	VIA12SQ_C	M1	M2	454.8720 301.5040	{454.8170 301.4490} {454.9270 301.5590}	1 1	1	1	detail_route	ZBUF_2071_6
1	0	VIA_S_905382	VIA12SQ_C	M1	M2	444.5360 301.5040	{444.4810 301.4490} {444.5910 301.5590}	1 1	1	1	detail_route	ZBUF_2071_6
1	0	VIA_S_905371	VIA12SQ_C	M1	M2	411.0960 268.3680	{411.0410 268.3130} {411.1510 268.4230}	1 1	1	1	detail_route	ZBUF_2071_6
1	0	VIA_S_905370	VIA12SQ_C	M1	M2	399.2400 271.7120	{399.1850 271.6570} {399.2950 271.7670}	1 1	1	1	detail_route	ZBUF_2071_6
1	0	VIA_S_876675	VIA12SQ_C	M1	M2	394.6800 266.5440	{394.6250 266.4890} {394.7350 266.5990}	1 1	1	1	detail_route	ZBUF_2071_6
1	0	VIA_S_876674	VIA12SQ_C	M1	M2	394.2240 270.1920	{394.1690 270.1370} {394.2790 270.2470}	1 1	1	1	detail_route	ZBUF_2071_6
1	0	VIA_SA_15760	VIA12SQ_C	M1	M2	393.6160 268.5200	{393.5610 268.3890} {393.6710 268.6510}	2 1	2	1	detail_route	ZBUF_2071_6
1	0	VIA_S_876671	VIA12SQ_C	M1	M2	392.7040 266.3920	{392.6490 266.3370} {392.7590 266.4470}	1 1	1	1	detail_route	ZBUF_2071_6
1	0	VIA_S_876670	VIA12SQ_C	M1	M2	392.2480 268.0640	{392.1930 268.0090} {392.3030 268.1190}	1 1	1	1	detail_route	ZBUF_2071_6
1	0	VIA_S_876667	VIA12SQ_C	M1	M2	390.2720 271.7120	{390.2170 271.6570} {390.3270 271.7670}	1 1	1	1	detail_route	ZBUF_2071_6
1	0	VIA_S_876665	VIA12SQ_C	M1	M2	384.0400 273.5360	{383.9850 273.4810} {384.0950 273.5910}	1 1	1	1	detail_route	ZBUF_2071_6
1	0	VIA_S_876659	VIA12SQ_C	M1	M2	381.1520 274.7520	{381.0970 274.6970} {381.2070 274.8070}	1 1	1	1	detail_route	ZBUF_2071_6
1	0	VIA_S_876655	VIA12SQ_C	M1	M2	378.8720 271.7120	{378.8170 271.6570} {378.9270 271.7670}	1 1	1	1	detail_route	ZBUF_2071_6
2	1	VIA_SA_15716	VIA12SQ_C	M1	M2	760.6960 291.9280	{760.6410 291.7970} {760.7510 292.0590}	2 1	2	1	detail_route	n47209
2	1	VIA_S_313387	VIA12SQ_C	M1	M2	762.9760 300.7440	{762.9210 300.6890} {763.0310 300.7990}	1 1	1	1	detail_route	n47209
2	1	VIA_S_313386	VIA12SQ_C	M1	M2	760.5440 295.1200	{760.4890 295.0650} {760.5990 295.1750}	1 1	1	1	detail_route	n47209
2	1	VIA_S_313379	VIA12SQ_C	M1	M2	750.2080 318.6800	{750.1530 318.6250} {750.2630 318.7350}	1 1	1	1	detail_route	n47209
2	1	VIA_S_313373	VIA12SQ_C	M1	M2	729.3840 286.9120	{729.3290 286.8570} {729.4390 286.9670}	1 1	1	1	detail_route	n47209
3	2	VIA_SA_15713	VIA12SQ_C	M1	M2	743.6720 309.8640	{743.6170 309.7330} {743.7270 309.9950}	2 1	2	1	detail_route	n46355
3	2	VIA_S_308305	VIA12SQ_C	M1	M2	743.6720 307.7360	{743.6170 307.6810} {743.7270 307.7910}	1 1	1	1	detail_route	n46355
3	2	VIA_S_308304	VIA12SQ_C	M1	M2	744.2800 307.7360	{744.2250 307.6810} {744.3350 307.7910}	1 1	1	1	detail_route	n46355
3	2	VIA_S_308303	VIA12SQ_C	M1	M2	744.2800 305.4560	{744.2250 305.4010} {744.3350 305.5110}	1 1	1	1	detail_route	n46355
4	3	VIA_SA_15714	VIA12SQ_C	M1	M2	741.5440 306.5200	{741.4890 306.3890} {741.5990 306.6510}	2 1	2	1	detail_route	n46411
4	3	VIA_S_308683	VIA12SQ_C	M1	M2	742.7600 305.7600	{742.7050 305.7050} {742.8150 305.8150}	1 1	1	1	detail_route	n46411
5	4	VIA_SA_15706	VIA12SQ_C	M1	M2	780.3040 309.8640	{780.2490 309.7330} {780.3590 309.9950}	2 1	2	1	detail_route	n4111
5	4	VIA_SA_15705	VIA12SQ_C	M1	M2	778.4800 315.3360	{778.4250 315.2050} {778.5350 315.4670}	2 1	2	1	detail_route	n4111
5	4	VIA_S_143548	VIA12SQ_C	M1	M2	776.6560 311.9920	{776.6010 311.9370} {776.7110 312.0470}	1 1	1	1	detail_route	n4111
5	4	VIA_SA_15704	VIA12SQ_C	M1	M2	776.5040 315.3360	{776.4490 315.2050} {776.5590 315.4670}	2 1	2	1	detail_route	n4111
5	4	VIA_S_143546	VIA12SQ_C	M1	M2	774.0720 313.3600	{774.0170 313.3050} {774.1270 313.4150}	1 1	1	1	detail_route	n4111
6	5	VIA_S_832231	VIA12SQ_C	M1	M2	721.7840 323.2400	{721.7290 323.1850} {721.8390 323.2950}	1 1	1	1	detail_route	u_ibex_top_u_ibex_core_load_store_unit_i_rdata_offset_q[1]
6	5	VIA_S_832230	VIA12SQ_C	M1	M2	720.4160 324.9120	{720.3610 324.8570} {720.4710 324.9670}	1 1	1	1	detail_route	u_ibex_top_u_ibex_core_load_store_unit_i_rdata_offset_q[1]
6	5	VIA_S_832229	VIA12SQ_C	M1	M2	715.4000 318.3760	{715.3450 318.3210} {715.4550 318.4310}	1 1	1	1	detail_route	u_ibex_top_u_ibex_core_load_store_unit_i_rdata_offset_q[1]
6	5	VIA_S_832008	VIA12SQ_C	M1	M2	715.2480 317.0080	{715.1930 316.9530} {715.3030 317.0630}	1 1	1	1	detail_route	u_ibex_top_u_ibex_core_load_store_unit_i_rdata_offset_q[1]
