idx	name	type_name	layer_name	bbox	objects	description
1	0	Off-grid		{393.5640 268.4190} {393.6140 268.6210}	_sel13	
2	1	Off-grid		{393.5340 268.4140} {393.6440 268.6260}	_sel14	
3	2	Off-grid		{760.6440 291.8270} {760.6940 292.0290}	_sel15	
4	3	Off-grid		{760.6140 291.8220} {760.7240 292.0340}	_sel16	
5	4	Off-grid		{743.6400 309.7330} {743.7000 309.9950}	_sel17	
6	5	Off-grid		{743.6450 309.7630} {743.6950 309.9650}	_sel18	
7	6	Off-grid		{741.4620 306.4140} {741.5720 306.6260}	_sel19	
8	7	Off-grid		{741.4920 306.4190} {741.5420 306.6210}	_sel20	
9	8	Off-grid		{780.2810 309.7630} {780.3310 309.9650}	_sel21	
10	9	Off-grid		{780.2760 309.7330} {780.3360 309.9950}	_sel22	
11	10	Off-grid		{713.2200 315.2350} {713.2700 315.4370}	_sel23	
12	11	Off-grid		{713.1900 315.2300} {713.3000 315.4420}	_sel24	
13	12	Off-grid		{713.8280 318.5790} {713.8780 318.7810}	_sel25	
14	13	Off-grid		{713.7980 318.5740} {713.9080 318.7860}	_sel26	
15	14	Off-grid		{776.4520 315.2350} {776.5020 315.4370}	_sel27	
16	15	Off-grid		{776.4220 315.2300} {776.5320 315.4420}	_sel28	
17	16	Off-grid		{778.4530 315.2350} {778.5030 315.4370}	_sel29	
18	17	Off-grid		{778.4480 315.2050} {778.5080 315.4670}	_sel30	
19	18	Off-grid		{789.2200 315.2350} {789.2700 315.4370}	_sel31	
20	19	Off-grid		{789.1900 315.2300} {789.3000 315.4420}	_sel32	
21	20	Off-grid		{736.5010 331.9550} {736.5510 332.1570}	_sel33	
22	21	Off-grid		{736.4960 331.9250} {736.5560 332.1870}	_sel34	
23	22	Off-grid		{780.2760 335.2690} {780.3360 335.5310}	_sel35	
24	23	Off-grid		{780.2810 335.2990} {780.3310 335.5010}	_sel36	
25	24	Off-grid		{743.1640 343.2030} {743.2140 343.4050}	_sel37	
