idx	error	via	via_def	lower	upper	origin	bbox	array_size	rows	cols	shape_use	net
1	0	VIA_S_905463	VIA12SQ_C	M1	M2	596.8400 283.4160	{596.7850 283.3610} {596.8950 283.4710}	1 1	1	1	detail_route	ZBUF_2071_6
1	0	VIA_S_905452	VIA12SQ_C	M1	M2	668.5840 277.0320	{668.5290 276.9770} {668.6390 277.0870}	1 1	1	1	detail_route	ZBUF_2071_6
1	0	VIA_S_905451	VIA12SQ_C	M1	M2	675.1200 277.0320	{675.0650 276.9770} {675.1750 277.0870}	1 1	1	1	detail_route	ZBUF_2071_6
1	0	VIA_S_905442	VIA12SQ_C	M1	M2	727.2560 270.6480	{727.2010 270.5930} {727.3110 270.7030}	1 1	1	1	detail_route	ZBUF_2071_6
1	0	VIA_S_905441	VIA12SQ_C	M1	M2	596.8400 284.3280	{596.7850 284.2730} {596.8950 284.3830}	1 1	1	1	detail_route	ZBUF_2071_6
1	0	VIA_S_905440	VIA12SQ_C	M1	M2	594.5600 284.3280	{594.5050 284.2730} {594.6150 284.3830}	1 1	1	1	detail_route	ZBUF_2071_6
1	0	VIA_S_905439	VIA12SQ_C	M1	M2	594.5600 281.5920	{594.5050 281.5370} {594.6150 281.6470}	1 1	1	1	detail_route	ZBUF_2071_6
1	0	VIA_S_905436	VIA12SQ_C	M1	M2	590.0000 281.5920	{589.9450 281.5370} {590.0550 281.6470}	1 1	1	1	detail_route	ZBUF_2071_6
1	0	VIA_S_905410	VIA12SQ_C	M1	M2	454.8720 301.5040	{454.8170 301.4490} {454.9270 301.5590}	1 1	1	1	detail_route	ZBUF_2071_6
1	0	VIA_S_905409	VIA12SQ_C	M1	M2	444.5360 301.5040	{444.4810 301.4490} {444.5910 301.5590}	1 1	1	1	detail_route	ZBUF_2071_6
1	0	VIA_S_905398	VIA12SQ_C	M1	M2	411.0960 268.3680	{411.0410 268.3130} {411.1510 268.4230}	1 1	1	1	detail_route	ZBUF_2071_6
1	0	VIA_S_905397	VIA12SQ_C	M1	M2	399.2400 271.7120	{399.1850 271.6570} {399.2950 271.7670}	1 1	1	1	detail_route	ZBUF_2071_6
1	0	VIA_S_905390	VIA12SQ_C	M1	M2	394.6800 266.5440	{394.6250 266.4890} {394.7350 266.5990}	1 1	1	1	detail_route	ZBUF_2071_6
1	0	VIA_S_905389	VIA12SQ_C	M1	M2	394.2240 270.1920	{394.1690 270.1370} {394.2790 270.2470}	1 1	1	1	detail_route	ZBUF_2071_6
1	0	VIA_SA_15760	VIA12SQ	M1	M2	393.5890 268.5200	{393.5340 268.4140} {393.6440 268.6260}	2 1	2	1	detail_route	ZBUF_2071_6
1	0	VIA_S_905386	VIA12SQ_C	M1	M2	392.7040 266.3920	{392.6490 266.3370} {392.7590 266.4470}	1 1	1	1	detail_route	ZBUF_2071_6
