label	error_idx	idx	name	class	layer	bbox	net	ref_name	lib_cell	shape_use	via_def	owner
drc_error	1	0	0	drc_error		{799.4010 612.0100} {799.5110 612.0700}	NA	NA	NA	NA	NA	NA
drc_object	1	1	n55676	net		{782.0720 571.8570} {806.4200 612.1160}						
near_cell	1	1	u_ibex_top_u_ibex_core_if_stage_i_gen_prefetch_buffer_prefetch_buffer_i_fifo_i_rdata_q_reg_0__8_	cell		{800.5570 613.5300} {804.7390 615.3330}		DFFX1_HVT	_sel13			
near_cell	1	2	U7496	cell		{796.4530 613.5300} {798.6590 615.3470}		AO222X1_HVT	_sel14			
near_cell	1	3	U6629	cell		{797.0610 611.7870} {800.9390 613.5900}		MUX41X2_HVT	_sel15			
near_pin	1	1	U6629/S0	pin	M1 CO	{799.3380 612.0660} {799.8840 612.1160}	n55676					
near_pin	1	2	U6629/VDD	pin	M1 CO	{797.1760 611.8580} {800.8240 612.5100}	VDD					
near_shape	1	1	PATH_25_50	shape	M8	{799.5000 13.0000} {800.5000 857.9840}	VDD			stripe		VDD
near_shape	1	2	PATH_13_103	shape	M2	{799.8000 13.0000} {800.2000 857.9840}	VDD			stripe		VDD
near_shape	1	3	PATH_11_354	shape	M1	{20.0000 611.8580} {851.4400 611.9180}	VDD			lib_cell_pin_connect		VDD
near_shape	1	4	PATH_17_1085	shape	M4	{799.4280 605.7800} {799.4840 613.4360}	u_ibex_top_u_ibex_core_if_stage_i_gen_prefetch_buffer_prefetch_buffer_i_fifo_i_rdata_q_0__23_			detail_route		u_ibex_top_u_ibex_core_if_stage_i_gen_prefetch_buffer_prefetch_buffer_i_fifo_i_rdata_q_0__23_
near_shape	1	5	PATH_23_1555	shape	M7	{701.5400 612.1640} {799.4840 612.2200}	ZBUF_2_260			detail_route		ZBUF_2_260
near_shape	1	6	PATH_21_3992	shape	M6	{799.4280 612.1640} {799.4840 686.3960}	ZBUF_2_260			detail_route		ZBUF_2_260
near_shape	1	7	PATH_13_374079	shape	M2	{799.4280 608.8200} {799.4840 612.0680}	n55676			detail_route		n55676
near_shape	1	8	PATH_13_377726	shape	M2	{799.1240 607.7560} {799.1800 613.5880}	instr_rdata[27]			detail_route		instr_rdata[27]
near_via	1	1	VIA_SA_8937	via		{799.5250 611.8330} {800.4750 611.9430}	VDD			lib_cell_pin_connect	VIA12SQ_C	VDD
