idx	error_name	error_layer	error_bbox	blockage_boundary	nets	action
1	0		{449.9830 232.8510} {450.0330 233.0530}	{449.863 232.691} {450.153 233.213}	n55391	BLOCKAGE_CREATED
2	2		{650.6230 479.0910} {650.6730 479.2930}	{650.503 478.931} {650.793 479.453}	{u_ibex_top_u_ibex_core_load_store_unit_i_rdata_offset_q[1]}	BLOCKAGE_CREATED
3	3		{654.1190 483.6510} {654.1690 483.8530}	{653.999 483.491} {654.289 484.013}	{u_ibex_top_u_ibex_core_load_store_unit_i_rdata_offset_q[1]}	BLOCKAGE_CREATED
4	4		{746.0790 492.4670} {746.1290 492.6690}	{745.959 492.307} {746.249 492.829}	n46355	BLOCKAGE_CREATED
5	5		{722.3670 500.3710} {722.4170 500.5730}	{722.247 500.211} {722.537 500.733}	n47209	BLOCKAGE_CREATED
6	6		{742.4310 495.8110} {742.4810 496.0130}	{742.311 495.651} {742.601 496.173}	n46411	BLOCKAGE_CREATED
7	7		{667.7990 509.1870} {667.8490 509.3890}	{667.679 509.027} {667.969 509.549}	n6576	BLOCKAGE_CREATED
8	8		{799.5830 515.8750} {799.6330 516.0770}	{799.463 515.715} {799.753 516.237}	n2871	BLOCKAGE_CREATED
9	9		{727.3830 522.5630} {727.4330 522.7650}	{727.263 522.403} {727.553 522.925}	n4111	BLOCKAGE_CREATED
10	10		{716.8950 543.8430} {716.9450 544.0450}	{716.775 543.683} {717.065 544.205}	{u_ibex_top_u_ibex_core_instr_rdata_alu_id[26]}	BLOCKAGE_CREATED
11	11		{742.2790 543.8430} {742.3290 544.0450}	{742.159 543.683} {742.449 544.205}	n6821	BLOCKAGE_CREATED
12	12		{761.2790 559.3470} {761.3290 559.5490}	{761.159 559.187} {761.449 559.709}	n4612	BLOCKAGE_CREATED
13	13		{764.7750 589.4430} {764.8250 589.6450}	{764.655 589.283} {764.945 589.805}	{u_ibex_top_u_ibex_core_if_stage_i_gen_prefetch_buffer_prefetch_buffer_i_fifo_busy[1]}	BLOCKAGE_CREATED
14	14		{768.1190 590.6590} {768.1690 590.8610}	{767.999 590.499} {768.289 591.021}	{u_ibex_top_u_ibex_core_if_stage_i_gen_prefetch_buffer_prefetch_buffer_i_fifo_busy[1]}	BLOCKAGE_CREATED
15	15		{800.3430 596.1310} {800.3930 596.3330}	{800.223 595.971} {800.513 596.493}	n5567	BLOCKAGE_CREATED
16	16		{807.0310 602.8190} {807.0810 603.0210}	{806.911 602.659} {807.201 603.181}	n5613	BLOCKAGE_CREATED
17	17		{799.4010 612.0100} {799.5110 612.0700}	{799.281 611.85} {799.631 612.23}	n55676	BLOCKAGE_CREATED
