idx	error_name	type	layer	bbox	object	object_class	object_layer	object_bbox	action
1	0	Off-grid		{393.5910 268.4190} {393.6410 268.6210}	VIA_SA_15760	via	:M1-M2	{393.5610 268.3890} {393.6710 268.6510}	REMOVED_NEAR_NET_BBOX
2	1	Off-grid		{760.6710 291.8270} {760.7210 292.0290}	VIA_SA_15716	via	:M1-M2	{760.6410 291.7970} {760.7510 292.0590}	REMOVED_NEAR_NET_BBOX
3	2	Off-grid		{743.6470 309.7630} {743.6970 309.9650}	VIA_SA_15713	via	:M1-M2	{743.6170 309.7330} {743.7270 309.9950}	REMOVED_NEAR_NET_BBOX
4	3	Off-grid		{741.5190 306.4190} {741.5690 306.6210}	VIA_SA_15714	via	:M1-M2	{741.4890 306.3890} {741.5990 306.6510}	REMOVED_NEAR_NET_BBOX
5	4	Off-grid		{780.2790 309.7630} {780.3290 309.9650}	VIA_SA_15706	via	:M1-M2	{780.2490 309.7330} {780.3590 309.9950}	REMOVED_NEAR_NET_BBOX
6	5	Off-grid		{713.2470 315.2350} {713.2970 315.4370}	VIA_SA_15724	via	:M1-M2	{713.2170 315.2050} {713.3270 315.4670}	REMOVED_NEAR_NET_BBOX
7	6	Off-grid		{713.8550 318.5790} {713.9050 318.7810}	VIA_SA_15725	via	:M1-M2	{713.8250 318.5490} {713.9350 318.8110}	REMOVED_NEAR_NET_BBOX
8	7	Off-grid		{776.4790 315.2350} {776.5290 315.4370}	VIA_SA_15704	via	:M1-M2	{776.4490 315.2050} {776.5590 315.4670}	REMOVED_NEAR_NET_BBOX
9	8	Off-grid		{778.4550 315.2350} {778.5050 315.4370}	VIA_SA_15705	via	:M1-M2	{778.4250 315.2050} {778.5350 315.4670}	REMOVED_NEAR_NET_BBOX
10	9	Off-grid		{789.2470 315.2350} {789.2970 315.4370}	VIA_SA_15728	via	:M1-M2	{789.2170 315.2050} {789.3270 315.4670}	REMOVED_NEAR_NET_BBOX
11	10	Off-grid		{736.5030 331.9550} {736.5530 332.1570}	VIA_SA_15711	via	:M1-M2	{736.4730 331.9250} {736.5830 332.1870}	REMOVED_NEAR_NET_BBOX
12	11	Off-grid		{780.2790 335.2990} {780.3290 335.5010}	VIA_SA_15703	via	:M1-M2	{780.2490 335.2690} {780.3590 335.5310}	REMOVED_NEAR_NET_BBOX
13	12	Off-grid		{743.1910 343.2030} {743.2410 343.4050}	VIA_SA_15712	via	:M1-M2	{743.1610 343.1730} {743.2710 343.4350}	REMOVED_NEAR_NET_BBOX
14	14	Off-grid		{747.7510 423.4590} {747.8010 423.6610}	VIA_SA_15707	via	:M1-M2	{747.7210 423.4290} {747.8310 423.6910}	REMOVED_NEAR_NET_BBOX
15	15	Off-grid		{762.6470 459.0270} {762.6970 459.2290}	VIA_SA_15720	via	:M1-M2	{762.6170 458.9970} {762.7270 459.2590}	REMOVED_NEAR_NET_BBOX
16	16	Off-grid		{791.2230 452.3390} {791.2730 452.5410}	VIA_SA_15708	via	:M1-M2	{791.1930 452.3090} {791.3030 452.5710}	REMOVED_NEAR_NET_BBOX
17	17	Off-grid		{801.5590 455.6830} {801.6090 455.8850}	VIA_SA_15710	via	:M1-M2	{801.5290 455.6530} {801.6390 455.9150}	REMOVED_NEAR_NET_BBOX
18	18	Off-grid		{767.6630 463.5870} {767.7130 463.7890}	VIA_SA_15721	via	:M1-M2	{767.6330 463.5570} {767.7430 463.8190}	REMOVED_NEAR_NET_BBOX
19	19	Off-grid		{768.2710 462.3710} {768.3210 462.5730}	VIA_SA_15722	via	:M1-M2	{768.2410 462.3410} {768.3510 462.6030}	REMOVED_NEAR_NET_BBOX
