idx	error_name	type	layer	bbox	object	object_class	object_layer	object_bbox	action
1	0	Off-grid		{393.5910 268.4190} {393.6410 268.6210}	ZBUF_2071_6	net		{378.8170 266.3370} {728.0710 304.5990}	SKIP_NOT_VIA1
2	1	Off-grid		{760.6710 291.8270} {760.7210 292.0290}	n47209	net		{729.3290 286.5580} {763.0930 319.1680}	SKIP_NOT_VIA1
3	2	Off-grid		{743.6470 309.7630} {743.6970 309.9650}	n46355	net		{743.5530 304.3750} {744.3450 309.9950}	SKIP_NOT_VIA1
4	3	Off-grid		{741.5190 306.4190} {741.5690 306.6210}	n46411	net		{741.4250 304.3750} {742.8250 306.6510}	SKIP_NOT_VIA1
5	4	Off-grid		{780.2790 309.7630} {780.3290 309.9650}	n4111	net		{774.0170 309.7330} {780.6630 315.4670}	SKIP_NOT_VIA1
6	5	Off-grid		{713.2470 315.2350} {713.2970 315.4370}	u_ibex_top_u_ibex_core_load_store_unit_i_rdata_offset_q[1]	net		{711.8490 315.2050} {721.8840 325.8280}	SKIP_NOT_VIA1
7	6	Off-grid		{713.8550 318.5790} {713.9050 318.7810}	u_ibex_top_u_ibex_core_load_store_unit_i_rdata_offset_q[1]	net		{711.8490 315.2050} {721.8840 325.8280}	SKIP_NOT_VIA1
8	7	Off-grid		{776.4790 315.2350} {776.5290 315.4370}	n4111	net		{774.0170 309.7330} {780.6630 315.4670}	SKIP_NOT_VIA1
9	8	Off-grid		{778.4550 315.2350} {778.5050 315.4370}	n4111	net		{774.0170 309.7330} {780.6630 315.4670}	SKIP_NOT_VIA1
10	9	Off-grid		{789.2470 315.2350} {789.2970 315.4370}	u_ibex_top_u_ibex_core_instr_rdata_alu_id[26]	net		{788.0920 315.2050} {795.1030 324.1780}	SKIP_NOT_VIA1
11	10	Off-grid		{736.5030 331.9550} {736.5530 332.1570}	n6576	net		{735.4390 313.3050} {779.8130 332.5440}	SKIP_NOT_VIA1
12	11	Off-grid		{780.2790 335.2990} {780.3290 335.5010}	n2871	net		{780.2490 335.2690} {798.9030 337.5590}	SKIP_NOT_VIA1
13	12	Off-grid		{743.1910 343.2030} {743.2410 343.4050}	n6821	net		{743.0970 339.4720} {748.9570 405.3750}	SKIP_NOT_VIA1
14	14	Off-grid		{747.7510 423.4590} {747.8010 423.6610}	n4612	net		{747.1130 423.4290} {749.0470 426.1990}	SKIP_NOT_VIA1
15	15	Off-grid		{762.6470 459.0270} {762.6970 459.2290}	u_ibex_top_u_ibex_core_if_stage_i_gen_prefetch_buffer_prefetch_buffer_i_fifo_busy[1]	net		{761.3390 438.1260} {768.3510 463.8190}	SKIP_NOT_VIA1
16	16	Off-grid		{791.2230 452.3390} {791.2730 452.5410}	n5567	net		{785.4170 452.3090} {791.3030 457.9290}	SKIP_NOT_VIA1
17	17	Off-grid		{801.5590 455.6830} {801.6090 455.8850}	n5613	net		{785.1130 455.2730} {801.6390 461.2730}	SKIP_NOT_VIA1
18	18	Off-grid		{767.6630 463.5870} {767.7130 463.7890}	u_ibex_top_u_ibex_core_if_stage_i_gen_prefetch_buffer_prefetch_buffer_i_fifo_busy[1]	net		{761.3390 438.1260} {768.3510 463.8190}	SKIP_NOT_VIA1
19	19	Off-grid		{768.2710 462.3710} {768.3210 462.5730}	u_ibex_top_u_ibex_core_if_stage_i_gen_prefetch_buffer_prefetch_buffer_i_fifo_busy[1]	net		{761.3390 438.1260} {768.3510 463.8190}	SKIP_NOT_VIA1
