idx	error_name	net	via	via_def	via_bbox	action
1	0	n55391	VIA_SA_15744	VIA12SQ_C	{449.9530 232.8210} {450.0630 233.0830}	REMOVED
2	2	u_ibex_top_u_ibex_core_load_store_unit_i_rdata_offset_q[1]	VIA_SA_15749	VIA12SQ_C	{650.5930 479.0610} {650.7030 479.3230}	REMOVED
3	3	u_ibex_top_u_ibex_core_load_store_unit_i_rdata_offset_q[1]	VIA_SA_15750	VIA12SQ_C	{654.0890 483.6210} {654.1990 483.8830}	REMOVED
4	4	n46355	VIA_SA_15723	VIA12SQ_C	{746.0490 492.4370} {746.1590 492.6990}	REMOVED
5	5	n47209	VIA_SA_15727	VIA12SQ_C	{722.3370 500.3410} {722.4470 500.6030}	REMOVED
6	6	n46411	VIA_SA_15725	VIA12SQ_C	{742.4010 495.7810} {742.5110 496.0430}	REMOVED
7	7	n6576	VIA_SA_15720	VIA12SQ_C	{667.7690 509.1570} {667.8790 509.4190}	REMOVED
8	8	n2871	VIA_SA_15712	VIA12SQ_C	{799.5530 515.8450} {799.6630 516.1070}	REMOVED
9	9	n4111	VIA_SA_15714	VIA12SQ_C	{727.3530 522.5330} {727.4630 522.7950}	REMOVED
10	10	u_ibex_top_u_ibex_core_instr_rdata_alu_id[26]	VIA_SA_15751	VIA12SQ_C	{716.8650 543.8130} {716.9750 544.0750}	REMOVED
11	11	n6821	VIA_SA_15721	VIA12SQ_C	{742.2490 543.8130} {742.3590 544.0750}	REMOVED
12	12	n4612	VIA_SA_15715	VIA12SQ_C	{761.2490 559.3170} {761.3590 559.5790}	REMOVED
13	13	u_ibex_top_u_ibex_core_if_stage_i_gen_prefetch_buffer_prefetch_buffer_i_fifo_busy[1]	VIA_SA_15746	VIA12SQ_C	{764.7450 589.4130} {764.8550 589.6750}	REMOVED
14	14	u_ibex_top_u_ibex_core_if_stage_i_gen_prefetch_buffer_prefetch_buffer_i_fifo_busy[1]	VIA_SA_15747	VIA12SQ_C	{768.0890 590.6290} {768.1990 590.8910}	REMOVED
15	15	n5567	VIA_SA_15716	VIA12SQ_C	{800.3130 596.1010} {800.4230 596.3630}	REMOVED
16	16	n5613	VIA_SA_15718	VIA12SQ_C	{807.0010 602.7890} {807.1110 603.0510}	REMOVED
17	17	n55676	VIA_S_597129	VIA12SQ_C	{799.4010 611.9850} {799.5110 612.0950}	REMOVED
