inst	old_ref	target_ref	status
U23131	NOR2X4_RVT	NOR2X4_HVT	ok
U80571	NOR2X0_HVT	NOR2X4_HVT	ok
U80632	NOR2X0_HVT	NOR2X4_HVT	ok
U80708	NOR2X0_HVT	NOR2X4_HVT	ok
U44775	NOR2X2_HVT	NOR2X4_HVT	ok
U4214	NOR2X4_HVT	NOR2X4_HVT	ok
U4110	NOR2X4_HVT	NOR2X4_HVT	ok
U3055	NOR2X0_HVT	NOR2X4_HVT	ok
U7945	NOR2X0_HVT	NOR2X4_HVT	ok
U2900	NOR2X0_HVT	NOR2X4_HVT	ok
U8321	NOR2X0_HVT	NOR2X4_HVT	ok
U5112	NOR2X0_HVT	NOR2X4_HVT	ok
U6115	NOR2X2_HVT	NOR2X4_HVT	ok
U6697	NOR2X0_HVT	NOR2X4_HVT	ok
U6769	NOR2X0_HVT	NOR2X4_HVT	ok
U3117	NOR2X2_HVT	NOR2X4_HVT	ok
U3121	NOR2X2_HVT	NOR2X4_HVT	ok
U80531	NOR2X4_HVT	NOR2X4_HVT	ok
U80526	NOR2X0_HVT	NOR2X4_HVT	ok
