idx	error_name	via	via_def	origin	before_array	before_rows	before_cols	before_bbox	after_array	after_rows	after_cols	after_bbox	action
1	0	VIA_SA_15744	VIA12SQ_C	450.0080 232.9520	2 1	2	1	{449.9530 232.8210} {450.0630 233.0830}	1 1	1	1	{449.9530 232.8970} {450.0630 233.0070}	OK
2	3	VIA_SA_15749	VIA12SQ_C	650.6480 479.1920	2 1	2	1	{650.5930 479.0610} {650.7030 479.3230}	1 1	1	1	{650.5930 479.1370} {650.7030 479.2470}	OK
3	4	VIA_SA_15750	VIA12SQ_C	654.1440 483.7520	2 1	2	1	{654.0890 483.6210} {654.1990 483.8830}	1 1	1	1	{654.0890 483.6970} {654.1990 483.8070}	OK
4	5	VIA_SA_15723	VIA12SQ_C	746.1040 492.5680	2 1	2	1	{746.0490 492.4370} {746.1590 492.6990}	1 1	1	1	{746.0490 492.5130} {746.1590 492.6230}	OK
5	6	VIA_SA_15727	VIA12SQ_C	722.3920 500.4720	2 1	2	1	{722.3370 500.3410} {722.4470 500.6030}	1 1	1	1	{722.3370 500.4170} {722.4470 500.5270}	OK
6	7	VIA_SA_15725	VIA12SQ_C	742.4560 495.9120	2 1	2	1	{742.4010 495.7810} {742.5110 496.0430}	1 1	1	1	{742.4010 495.8570} {742.5110 495.9670}	OK
7	8	VIA_SA_15720	VIA12SQ_C	667.8240 509.2880	2 1	2	1	{667.7690 509.1570} {667.8790 509.4190}	1 1	1	1	{667.7690 509.2330} {667.8790 509.3430}	OK
8	9	VIA_SA_15712	VIA12SQ_C	799.6080 515.9760	2 1	2	1	{799.5530 515.8450} {799.6630 516.1070}	1 1	1	1	{799.5530 515.9210} {799.6630 516.0310}	OK
9	10	VIA_SA_15714	VIA12SQ_C	727.4080 522.6640	2 1	2	1	{727.3530 522.5330} {727.4630 522.7950}	1 1	1	1	{727.3530 522.6090} {727.4630 522.7190}	OK
10	11	VIA_SA_15751	VIA12SQ_C	716.9200 543.9440	2 1	2	1	{716.8650 543.8130} {716.9750 544.0750}	1 1	1	1	{716.8650 543.8890} {716.9750 543.9990}	OK
11	12	VIA_SA_15721	VIA12SQ_C	742.3040 543.9440	2 1	2	1	{742.2490 543.8130} {742.3590 544.0750}	1 1	1	1	{742.2490 543.8890} {742.3590 543.9990}	OK
12	13	VIA_SA_15715	VIA12SQ_C	761.3040 559.4480	2 1	2	1	{761.2490 559.3170} {761.3590 559.5790}	1 1	1	1	{761.2490 559.3930} {761.3590 559.5030}	OK
13	14	VIA_SA_15746	VIA12SQ_C	764.8000 589.5440	2 1	2	1	{764.7450 589.4130} {764.8550 589.6750}	1 1	1	1	{764.7450 589.4890} {764.8550 589.5990}	OK
14	15	VIA_SA_15747	VIA12SQ_C	768.1440 590.7600	2 1	2	1	{768.0890 590.6290} {768.1990 590.8910}	1 1	1	1	{768.0890 590.7050} {768.1990 590.8150}	OK
15	16	VIA_SA_15716	VIA12SQ_C	800.3680 596.2320	2 1	2	1	{800.3130 596.1010} {800.4230 596.3630}	1 1	1	1	{800.3130 596.1770} {800.4230 596.2870}	OK
16	17	VIA_SA_15718	VIA12SQ_C	807.0560 602.9200	2 1	2	1	{807.0010 602.7890} {807.1110 603.0510}	1 1	1	1	{807.0010 602.8650} {807.1110 602.9750}	OK
17	18	VIA_S_597129	VIA12SQ_C	799.4560 612.0400	1 1	1	1	{799.4010 611.9850} {799.5110 612.0950}	1 1	1	1	{799.4010 611.9850} {799.5110 612.0950}	OK
