idx	error_name	old_via	old_via_def	old_origin	old_array	old_rows	old_cols	old_bbox	axis	delta	new_origin_a	new_origin_b	new_via_a	new_via_b	action
1	0	VIA_SA_15760	VIA12SQ_C	393.6160 268.5200	2 1	2	1	{393.5610 268.3890} {393.6710 268.6510}	x	0.076	393.54 268.5200	393.692 268.5200	VIA_S_1154119	VIA_S_1154120	OK
2	1	VIA_SA_15716	VIA12SQ_C	760.6960 291.9280	2 1	2	1	{760.6410 291.7970} {760.7510 292.0590}	x	0.076	760.62 291.9280	760.772 291.9280	VIA_S_1154121	VIA_S_1154122	OK
3	2	VIA_SA_15713	VIA12SQ_C	743.6720 309.8640	2 1	2	1	{743.6170 309.7330} {743.7270 309.9950}	x	0.076	743.596 309.8640	743.748 309.8640	VIA_S_1154123	VIA_S_1154124	OK
4	3	VIA_SA_15714	VIA12SQ_C	741.5440 306.5200	2 1	2	1	{741.4890 306.3890} {741.5990 306.6510}	x	0.076	741.468 306.5200	741.62 306.5200	VIA_S_1154125	VIA_S_1154126	OK
5	4	VIA_SA_15706	VIA12SQ_C	780.3040 309.8640	2 1	2	1	{780.2490 309.7330} {780.3590 309.9950}	x	0.076	780.228 309.8640	780.38 309.8640	VIA_S_1154127	VIA_S_1154128	OK
6	5	VIA_SA_15724	VIA12SQ_C	713.2720 315.3360	2 1	2	1	{713.2170 315.2050} {713.3270 315.4670}	x	0.076	713.196 315.3360	713.348 315.3360	VIA_S_1154129	VIA_S_1154130	OK
7	6	VIA_SA_15725	VIA12SQ_C	713.8800 318.6800	2 1	2	1	{713.8250 318.5490} {713.9350 318.8110}	x	0.0760000000001	713.804 318.6800	713.956 318.6800	VIA_S_1154131	VIA_S_1154132	OK
8	7	VIA_SA_15704	VIA12SQ_C	776.5040 315.3360	2 1	2	1	{776.4490 315.2050} {776.5590 315.4670}	x	0.076	776.428 315.3360	776.58 315.3360	VIA_S_1154133	VIA_S_1154134	OK
9	8	VIA_SA_15705	VIA12SQ_C	778.4800 315.3360	2 1	2	1	{778.4250 315.2050} {778.5350 315.4670}	x	0.076	778.404 315.3360	778.556 315.3360	VIA_S_1154135	VIA_S_1154136	OK
10	9	VIA_SA_15728	VIA12SQ_C	789.2720 315.3360	2 1	2	1	{789.2170 315.2050} {789.3270 315.4670}	x	0.076	789.196 315.3360	789.348 315.3360	VIA_S_1154137	VIA_S_1154138	OK
11	10	VIA_SA_15711	VIA12SQ_C	736.5280 332.0560	2 1	2	1	{736.4730 331.9250} {736.5830 332.1870}	x	0.076	736.452 332.0560	736.604 332.0560	VIA_S_1154139	VIA_S_1154140	OK
12	11	VIA_SA_15703	VIA12SQ_C	780.3040 335.4000	2 1	2	1	{780.2490 335.2690} {780.3590 335.5310}	x	0.076	780.228 335.4000	780.38 335.4000	VIA_S_1154141	VIA_S_1154142	OK
13	12	VIA_SA_15712	VIA12SQ_C	743.2160 343.3040	2 1	2	1	{743.1610 343.1730} {743.2710 343.4350}	x	0.076	743.14 343.3040	743.292 343.3040	VIA_S_1154143	VIA_S_1154144	OK
14	14	VIA_SA_15707	VIA12SQ_C	747.7760 423.5600	2 1	2	1	{747.7210 423.4290} {747.8310 423.6910}	x	0.076	747.7 423.5600	747.852 423.5600	VIA_S_1154145	VIA_S_1164255	OK
15	15	VIA_SA_15720	VIA12SQ_C	762.6720 459.1280	2 1	2	1	{762.6170 458.9970} {762.7270 459.2590}	x	0.076	762.596 459.1280	762.748 459.1280	VIA_S_1164256	VIA_S_1164257	OK
16	16	VIA_SA_15708	VIA12SQ_C	791.2480 452.4400	2 1	2	1	{791.1930 452.3090} {791.3030 452.5710}	x	0.076	791.172 452.4400	791.324 452.4400	VIA_S_1164258	VIA_S_1164259	OK
17	17	VIA_SA_15710	VIA12SQ_C	801.5840 455.7840	2 1	2	1	{801.5290 455.6530} {801.6390 455.9150}	x	0.076	801.508 455.7840	801.66 455.7840	VIA_S_1164260	VIA_S_1164261	OK
18	18	VIA_SA_15721	VIA12SQ_C	767.6880 463.6880	2 1	2	1	{767.6330 463.5570} {767.7430 463.8190}	x	0.076	767.612 463.6880	767.764 463.6880	VIA_S_1164262	VIA_S_1164263	OK
19	19	VIA_SA_15722	VIA12SQ_C	768.2960 462.4720	2 1	2	1	{768.2410 462.3410} {768.3510 462.6030}	x	0.076	768.22 462.4720	768.372 462.4720	VIA_S_1164264	VIA_S_1164265	OK
