idx	name	type_name	layer_name	bbox	objects	description
1	1	Diff net spacing		{620.6240 68.9910} {620.7840 69.0740}	_sel37	
2	6	Diff net spacing		{619.2560 74.5900} {619.4160 74.6730}	_sel38	
3	7	Diff net spacing		{388.3680 151.5020} {388.5280 151.5850}	_sel39	
4	8	Diff net spacing		{388.8240 152.5910} {388.9840 152.6740}	_sel40	
5	9	Diff net spacing		{387.9120 161.5340} {388.0720 161.6170}	_sel41	
6	10	Diff net spacing		{388.8240 159.2790} {388.9840 159.3620}	_sel42	
7	11	Diff net spacing		{389.1280 161.5340} {389.2880 161.6170}	_sel43	
8	12	Diff net spacing		{389.4320 158.1900} {389.5920 158.2730}	_sel44	
9	13	Diff net spacing		{389.5840 165.9670} {389.7440 166.0500}	_sel45	
10	14	Diff net spacing		{391.7120 169.3110} {391.8720 169.3940}	_sel46	
11	21	Diff net spacing		{457.2240 182.6870} {457.3840 182.7700}	_sel47	
12	22	Diff net spacing		{456.7680 188.2860} {456.9280 188.3690}	_sel48	
13	24	Diff net spacing		{459.2000 189.3750} {459.3600 189.4580}	_sel49	
14	25	Diff net spacing		{462.5440 188.2860} {462.7040 188.3690}	_sel50	
15	26	Diff net spacing		{464.6720 189.3750} {464.8320 189.4580}	_sel51	
16	61	Diff net spacing		{293.6720 241.7900} {293.8320 241.8730}	_sel52	
17	66	Diff net spacing		{459.0480 291.9500} {459.2080 292.0330}	_sel53	
18	69	Diff net spacing		{458.5920 323.1350} {458.7520 323.2180}	_sel54	
19	70	Diff net spacing		{460.8720 323.1350} {461.0320 323.2180}	_sel55	
20	71	Diff net spacing		{466.4960 322.0460} {466.6560 322.1290}	_sel56	
21	72	Diff net spacing		{470.6000 323.1350} {470.7600 323.2180}	_sel57	
22	73	Diff net spacing		{468.6240 323.1350} {468.7840 323.2180}	_sel58	
23	77	Diff net spacing		{462.5440 325.3900} {462.7040 325.4730}	_sel59	
24	78	Diff net spacing		{471.2080 325.3900} {471.3680 325.4730}	_sel60	
25	79	Diff net spacing		{471.9680 332.0780} {472.1280 332.1610}	_sel61	
