idx	name	type_name	layer_name	bbox	objects	description
1	51	Less than minimum area		{169.8420 192.9210} {169.9020 193.0310}	_sel93	
2	53	Less than minimum area		{171.9700 192.9210} {172.0300 193.0310}	_sel94	
3	76	Less than minimum area		{110.4100 326.6810} {110.4700 326.7910}	_sel95	
4	119	Less than minimum area		{831.3460 470.4730} {831.4060 470.5830}	_sel96	
5	138	Less than minimum area		{832.8660 478.9850} {832.9260 479.0950}	_sel97	
6	152	Less than minimum area		{832.7140 493.8810} {832.7740 493.9910}	_sel98	
7	204	Less than minimum area		{840.6180 512.4250} {840.6780 512.5350}	_sel99	
8	247	Less than minimum area		{843.6580 522.4570} {843.7180 522.5670}	_sel100	
9	277	Less than minimum area		{845.9380 534.0090} {845.9980 534.1190}	_sel101	
10	317	Less than minimum area		{118.7700 565.9290} {118.8300 566.0390}	_sel102	
11	350	Less than minimum area		{725.5540 577.4810} {725.6140 577.5910}	_sel103	
12	376	Less than minimum area		{824.3540 589.3370} {824.4140 589.4470}	_sel104	
13	391	Less than minimum area		{563.3700 604.2330} {563.4300 604.3430}	_sel105	
14	455	Less than minimum area		{735.2820 614.2650} {735.3420 614.3750}	_sel106	
15	475	Less than minimum area		{777.8420 612.7450} {777.9020 612.8550}	_sel107	
16	480	Less than minimum area		{795.7780 607.5770} {795.8380 607.6870}	_sel108	
17	535	Less than minimum area		{722.3620 620.9530} {722.4220 621.0630}	_sel109	
18	543	Less than minimum area		{739.2340 620.9530} {739.2940 621.0630}	_sel110	
19	547	Less than minimum area		{770.6980 619.4330} {770.7580 619.5430}	_sel111	
20	553	Less than minimum area		{777.3860 619.4330} {777.4460 619.5430}	_sel112	
21	637	Less than minimum area		{783.4660 656.2170} {783.5260 656.3270}	_sel113	
22	689	Less than minimum area		{838.3380 731.3050} {838.3980 731.4150}	_sel114	
23	702	Less than minimum area		{849.2820 761.4010} {849.3420 761.5110}	_sel115	
24	707	Less than minimum area		{846.2420 764.7450} {846.3020 764.8550}	_sel116	
