idx	name	type_name	layer_name	bbox	objects	description
1	0	Needs fat contact		{607.1460 69.1930} {607.2060 69.3030}	_sel9	
2	2	Needs fat contact		{604.2580 74.3610} {604.3180 74.4710}	_sel10	
3	3	Needs fat contact		{605.9300 71.0170} {605.9900 71.1270}	_sel11	
4	4	Needs fat contact		{606.0820 77.7050} {606.1420 77.8150}	_sel12	
5	5	Needs fat contact		{615.3540 81.0490} {615.4140 81.1590}	_sel13	
6	15	Needs fat contact		{733.6100 178.0250} {733.6700 178.1350}	_sel14	
7	16	Needs fat contact		{144.7620 191.4010} {144.8220 191.5110}	_sel15	
8	17	Needs fat contact		{145.9780 191.4010} {146.0380 191.5110}	_sel16	
9	18	Needs fat contact		{148.8660 191.4010} {148.9260 191.5110}	_sel17	
10	19	Needs fat contact		{150.5380 191.4010} {150.5980 191.5110}	_sel18	
11	20	Needs fat contact		{152.6660 191.4010} {152.7260 191.5110}	_sel19	
12	23	Needs fat contact		{469.5860 182.8890} {469.6460 182.9990}	_sel20	
13	27	Needs fat contact		{467.6100 184.7130} {467.6700 184.8230}	_sel21	
14	28	Needs fat contact		{472.0180 182.8890} {472.0780 182.9990}	_sel22	
15	29	Needs fat contact		{472.6260 179.5450} {472.6860 179.6550}	_sel23	
16	30	Needs fat contact		{621.1300 186.2330} {621.1900 186.3430}	_sel24	
17	31	Needs fat contact		{627.8180 184.7130} {627.8780 184.8230}	_sel25	
18	32	Needs fat contact		{623.4100 184.7130} {623.4700 184.8230}	_sel26	
19	33	Needs fat contact		{629.9460 184.7130} {630.0060 184.8230}	_sel27	
20	34	Needs fat contact		{631.7700 184.7130} {631.8300 184.8230}	_sel28	
21	35	Needs fat contact		{634.2020 184.7130} {634.2620 184.8230}	_sel29	
22	36	Needs fat contact		{638.4580 182.8890} {638.5180 182.9990}	_sel30	
23	37	Needs fat contact		{640.5860 186.2330} {640.6460 186.3430}	_sel31	
24	38	Needs fat contact		{642.4100 186.2330} {642.4700 186.3430}	_sel32	
25	39	Needs fat contact		{727.9860 184.7130} {728.0460 184.8230}	_sel33	
