idx	name	type_name	layer_name	bbox	objects	description
1	59	Off-grid		{566.6920 216.1310} {566.7420 216.3330}	_sel65	
2	60	Off-grid		{566.6620 216.1260} {566.7720 216.3380}	_sel66	
3	62	Off-grid		{742.4040 254.8910} {742.4540 255.0930}	_sel67	
4	63	Off-grid		{742.3740 254.8860} {742.4840 255.0980}	_sel68	
5	64	Off-grid		{457.8600 293.1950} {457.9100 293.3970}	_sel69	
6	65	Off-grid		{457.8300 293.1900} {457.9400 293.4020}	_sel70	
7	158	Off-grid		{841.8390 490.5670} {841.9290 490.6680}	_sel71	
8	170	Off-grid		{690.5720 517.0910} {690.6220 517.2930}	_sel72	
9	207	Off-grid		{692.0920 525.9070} {692.1420 526.1090}	_sel73	
10	208	Off-grid		{692.0620 525.9020} {692.1720 526.1140}	_sel74	
11	212	Off-grid		{736.0480 530.3910} {736.2510 530.4460}	_sel75	
12	222	Off-grid		{739.5130 527.1940} {739.6230 527.2540}	_sel76	
13	289	Off-grid		{712.5820 555.9980} {712.6920 556.2100}	_sel77	
14	290	Off-grid		{712.6120 556.0030} {712.6620 556.2050}	_sel78	
15	296	Off-grid		{720.4180 552.6590} {720.4680 552.8610}	_sel79	
16	297	Off-grid		{720.3880 552.6540} {720.4980 552.8660}	_sel80	
17	321	Off-grid		{697.7410 566.0350} {697.7910 566.2370}	_sel81	
18	322	Off-grid		{697.7360 566.0050} {697.7960 566.2670}	_sel82	
19	323	Off-grid		{708.9340 559.3420} {709.0440 559.5540}	_sel83	
20	324	Off-grid		{708.9640 559.3470} {709.0140 559.5490}	_sel84	
21	336	Off-grid		{126.5000 575.9150} {126.5500 576.1170}	_sel85	
22	337	Off-grid		{126.4700 575.9100} {126.5800 576.1220}	_sel86	
23	341	Off-grid		{701.8200 570.5950} {701.8700 570.7970}	_sel87	
24	342	Off-grid		{701.7900 570.5900} {701.9000 570.8020}	_sel88	
25	356	Off-grid		{754.5640 580.6270} {754.6140 580.8290}	_sel89	
