net	object_type	full_name	layer	shape_use	bbox
VDD	shape	PATH_23_52	M7	stripe	{13.0000 847.5000} {858.2880 848.5000}
VDD	shape	PATH_23_50	M7	stripe	{13.0000 807.5000} {858.2880 808.5000}
VDD	shape	PATH_13_66427	M2	stripe	{839.9000 13.0000} {840.1000 857.9840}
VDD	shape	PATH_25_52	M8	stripe	{839.5000 13.0000} {840.5000 857.9840}
VDD	shape	PATH_13_66425	M2	stripe	{819.9000 13.0000} {820.1000 857.9840}
VDD	shape	PATH_13_66423	M2	stripe	{799.9000 13.0000} {800.1000 857.9840}
VDD	shape	PATH_25_50	M8	stripe	{799.5000 13.0000} {800.5000 857.9840}
VDD	shape	PATH_13_66421	M2	stripe	{779.9000 13.0000} {780.1000 857.9840}
VDD	shape	PATH_13_66419	M2	stripe	{759.9000 13.0000} {760.1000 857.9840}
VDD	shape	PATH_25_48	M8	stripe	{759.5000 13.0000} {760.5000 857.9840}
VDD	shape	PATH_13_66417	M2	stripe	{739.9000 13.0000} {740.1000 857.9840}
VDD	shape	PATH_13_66415	M2	stripe	{719.9000 13.0000} {720.1000 857.9840}
VDD	shape	PATH_25_46	M8	stripe	{719.5000 13.0000} {720.5000 857.9840}
VDD	shape	PATH_13_66413	M2	stripe	{699.9000 13.0000} {700.1000 857.9840}
VDD	shape	PATH_13_66411	M2	stripe	{679.9000 13.0000} {680.1000 857.9840}
VDD	shape	PATH_25_44	M8	stripe	{679.5000 13.0000} {680.5000 857.9840}
VDD	shape	PATH_13_66409	M2	stripe	{659.9000 13.0000} {660.1000 857.9840}
VDD	shape	PATH_13_66407	M2	stripe	{639.9000 13.0000} {640.1000 857.9840}
VDD	shape	PATH_25_42	M8	stripe	{639.5000 13.0000} {640.5000 857.9840}
VDD	shape	PATH_13_66405	M2	stripe	{619.9000 13.0000} {620.1000 857.9840}
VDD	shape	PATH_13_66403	M2	stripe	{599.9000 13.0000} {600.1000 857.9840}
VDD	shape	PATH_25_40	M8	stripe	{599.5000 13.0000} {600.5000 857.9840}
VDD	shape	PATH_13_66401	M2	stripe	{579.9000 13.0000} {580.1000 857.9840}
VDD	shape	PATH_13_66399	M2	stripe	{559.9000 13.0000} {560.1000 857.9840}
VDD	shape	PATH_25_38	M8	stripe	{559.5000 13.0000} {560.5000 857.9840}
VDD	shape	PATH_13_66397	M2	stripe	{539.9000 13.0000} {540.1000 857.9840}
VDD	shape	PATH_13_66395	M2	stripe	{519.9000 13.0000} {520.1000 857.9840}
VDD	shape	PATH_25_36	M8	stripe	{519.5000 13.0000} {520.5000 857.9840}
VDD	shape	PATH_13_66393	M2	stripe	{499.9000 13.0000} {500.1000 857.9840}
VDD	shape	PATH_13_66391	M2	stripe	{479.9000 13.0000} {480.1000 857.9840}
VDD	shape	PATH_25_34	M8	stripe	{479.5000 13.0000} {480.5000 857.9840}
VDD	shape	PATH_13_66389	M2	stripe	{459.9000 13.0000} {460.1000 857.9840}
VDD	shape	PATH_13_66387	M2	stripe	{439.9000 13.0000} {440.1000 857.9840}
VDD	shape	PATH_25_32	M8	stripe	{439.5000 13.0000} {440.5000 857.9840}
VDD	shape	PATH_13_104	M2	stripe	{419.9000 13.0000} {420.1000 857.9840}
VDD	shape	PATH_13_102	M2	stripe	{399.9000 13.0000} {400.1000 857.9840}
VDD	shape	PATH_25_30	M8	stripe	{399.5000 13.0000} {400.5000 857.9840}
VDD	shape	PATH_13_100	M2	stripe	{379.9000 13.0000} {380.1000 857.9840}
VDD	shape	PATH_13_98	M2	stripe	{359.9000 13.0000} {360.1000 857.9840}
VDD	shape	PATH_25_28	M8	stripe	{359.5000 13.0000} {360.5000 857.9840}
VDD	shape	PATH_13_96	M2	stripe	{339.9000 13.0000} {340.1000 857.9840}
VDD	shape	PATH_13_94	M2	stripe	{319.9000 13.0000} {320.1000 857.9840}
VDD	shape	PATH_25_26	M8	stripe	{319.5000 13.0000} {320.5000 857.9840}
VDD	shape	PATH_13_92	M2	stripe	{299.9000 13.0000} {300.1000 857.9840}
VDD	shape	PATH_13_90	M2	stripe	{279.9000 13.0000} {280.1000 857.9840}
VDD	shape	PATH_25_24	M8	stripe	{279.5000 13.0000} {280.5000 857.9840}
VDD	shape	PATH_13_88	M2	stripe	{259.9000 13.0000} {260.1000 857.9840}
VDD	shape	PATH_13_86	M2	stripe	{239.9000 13.0000} {240.1000 857.9840}
VDD	shape	PATH_25_22	M8	stripe	{239.5000 13.0000} {240.5000 857.9840}
VDD	shape	PATH_13_84	M2	stripe	{219.9000 13.0000} {220.1000 857.9840}
VDD	shape	PATH_13_82	M2	stripe	{199.9000 13.0000} {200.1000 857.9840}
VDD	shape	PATH_25_20	M8	stripe	{199.5000 13.0000} {200.5000 857.9840}
VDD	shape	PATH_13_80	M2	stripe	{179.9000 13.0000} {180.1000 857.9840}
VDD	shape	PATH_13_78	M2	stripe	{159.9000 13.0000} {160.1000 857.9840}
VDD	shape	PATH_25_18	M8	stripe	{159.5000 13.0000} {160.5000 857.9840}
VDD	shape	PATH_13_76	M2	stripe	{139.9000 13.0000} {140.1000 857.9840}
VDD	shape	PATH_13_74	M2	stripe	{119.9000 13.0000} {120.1000 857.9840}
VDD	shape	PATH_25_16	M8	stripe	{119.5000 13.0000} {120.5000 857.9840}
VDD	shape	PATH_13_72	M2	stripe	{99.9000 13.0000} {100.1000 857.9840}
VDD	shape	PATH_13_70	M2	stripe	{79.9000 13.0000} {80.1000 857.9840}
VDD	shape	PATH_25_14	M8	stripe	{79.5000 13.0000} {80.5000 857.9840}
VDD	shape	PATH_13_68	M2	stripe	{59.9000 13.0000} {60.1000 857.9840}
VDD	shape	PATH_13_66	M2	stripe	{39.9000 13.0000} {40.1000 857.9840}
VDD	shape	PATH_25_12	M8	stripe	{39.5000 13.0000} {40.5000 857.9840}
VDD	shape	PATH_25_9	M8	ring	{856.2880 0.0000} {858.2880 870.9840}
VDD	shape	PATH_25_8	M8	ring	{13.0000 0.0000} {15.0000 870.9840}
VDD	shape	PATH_11_496	M1	lib_cell_pin_connect	{20.0000 849.2820} {851.2880 849.3420}
VDD	shape	PATH_11_494	M1	lib_cell_pin_connect	{20.0000 845.9380} {851.2880 845.9980}
VDD	shape	PATH_11_492	M1	lib_cell_pin_connect	{20.0000 842.5940} {851.2880 842.6540}
VDD	shape	PATH_11_490	M1	lib_cell_pin_connect	{20.0000 839.2500} {851.2880 839.3100}
