net	object_type	full_name	via_master	bbox	lower_layer	upper_layer
VDD	via	VIA_SA_15076		{839.5250 849.2570} {840.4750 849.3670}	M1	M2
VDD	via	VIA_S_153173		{819.9450 849.2320} {820.0550 849.3920}	M1	M2
VDD	via	VIA_SA_15075		{799.5250 849.2570} {800.4750 849.3670}	M1	M2
VDD	via	VIA_S_153172		{779.9450 849.2320} {780.0550 849.3920}	M1	M2
VDD	via	VIA_SA_15074		{759.5250 849.2570} {760.4750 849.3670}	M1	M2
VDD	via	VIA_S_153171		{739.9450 849.2320} {740.0550 849.3920}	M1	M2
VDD	via	VIA_SA_15073		{719.5250 849.2570} {720.4750 849.3670}	M1	M2
VDD	via	VIA_S_153170		{699.9450 849.2320} {700.0550 849.3920}	M1	M2
VDD	via	VIA_SA_15072		{679.5250 849.2570} {680.4750 849.3670}	M1	M2
VDD	via	VIA_S_153169		{659.9450 849.2320} {660.0550 849.3920}	M1	M2
VDD	via	VIA_SA_15071		{639.5250 849.2570} {640.4750 849.3670}	M1	M2
VDD	via	VIA_S_153168		{619.9450 849.2320} {620.0550 849.3920}	M1	M2
VDD	via	VIA_SA_15070		{599.5250 849.2570} {600.4750 849.3670}	M1	M2
VDD	via	VIA_S_153167		{579.9450 849.2320} {580.0550 849.3920}	M1	M2
VDD	via	VIA_SA_15069		{559.5250 849.2570} {560.4750 849.3670}	M1	M2
VDD	via	VIA_S_153166		{539.9450 849.2320} {540.0550 849.3920}	M1	M2
VDD	via	VIA_SA_15068		{519.5250 849.2570} {520.4750 849.3670}	M1	M2
VDD	via	VIA_S_153165		{499.9450 849.2320} {500.0550 849.3920}	M1	M2
VDD	via	VIA_SA_15067		{479.5250 849.2570} {480.4750 849.3670}	M1	M2
VDD	via	VIA_S_153164		{459.9450 849.2320} {460.0550 849.3920}	M1	M2
VDD	via	VIA_SA_15066		{439.5250 849.2570} {440.4750 849.3670}	M1	M2
VDD	via	VIA_S_153163		{419.9450 849.2320} {420.0550 849.3920}	M1	M2
VDD	via	VIA_SA_15065		{399.5250 849.2570} {400.4750 849.3670}	M1	M2
VDD	via	VIA_S_153162		{379.9450 849.2320} {380.0550 849.3920}	M1	M2
VDD	via	VIA_SA_15064		{359.5250 849.2570} {360.4750 849.3670}	M1	M2
VDD	via	VIA_S_153161		{339.9450 849.2320} {340.0550 849.3920}	M1	M2
VDD	via	VIA_SA_15063		{319.5250 849.2570} {320.4750 849.3670}	M1	M2
VDD	via	VIA_S_153160		{299.9450 849.2320} {300.0550 849.3920}	M1	M2
VDD	via	VIA_SA_15062		{279.5250 849.2570} {280.4750 849.3670}	M1	M2
VDD	via	VIA_S_153159		{259.9450 849.2320} {260.0550 849.3920}	M1	M2
VDD	via	VIA_SA_15061		{239.5250 849.2570} {240.4750 849.3670}	M1	M2
